GameState,PossibleArrows,WinProb,TieProb
0224385115214100,60;,1,0
0224386015214151,,0,0
0224386015214100,51;,1,0
0224380015214100,51;60;,0,1
0224384915214459,,0,0
0224384915214400,59;,1,0
0224385915214449,,0,0
0224385915214400,49;,1,0
0224380015214400,49;59;,0,1
0224384415214959,,0,0
0224384415214900,59;,1,0
0224385915214900,44;,1,0
0224380015214900,44;59;,0,1
0224384115215160,,0,0
0224384115215100,60;,1,0
0224386015215100,41;,1,0
0224380015215100,41;60;,0,1
0224384415215900,49;,1,0
0224384915215900,44;,1,0
0224380015215900,44;49;,0,1
0224384115216000,51;,1,0
0224385115216000,41;,1,0
0224380015216000,41;51;,0,1
0224380015210000,41;44;49;51;59;60;,1,0
0224415215213562,,1,0
0224415215213500,62;,0,1
0224416215213552,,1,0
0224416215213500,52;,0,1
0224410015213500,52;62;,1,0
0224415115213860,,0,0
0224415115213800,60;,1,0
0224416015213851,,0,0
0224416015213800,51;,1,0
0224410015213800,51;60;,0,1
0224416015215100,38;,1,0
0224410015215100,38;60;,0,1
0224416215215200,35;,0,1
0224410015215200,35;62;,1,0
0224415115216000,38;,1,0
0224410015216000,38;51;,0,1
0224415215216200,35;,0,1
0224410015216200,35;52;,1,0
0224410015210000,35;38;51;52;60;62;,1,0
0224445115213362,,0,1
0224445115213300,62;,0,1
0224446215213351,,0,0
0224446215213300,51;,1,0
0224440015213300,51;62;,0,1
0224444915213859,,0,0
0224444915213800,59;,1,0
0224445915213849,,0,0
0224445915213800,49;,1,0
0224440015213800,49;59;,0,1
0224445915214900,38;,1,0
0224440015214900,38;59;,0,1
0224446215215100,33;,1,0
0224440015215100,33;62;,0,1
0224444915215900,38;,1,0
0224440015215900,38;49;,0,1
0224445115216200,33;,0,1
0224440015216200,33;51;,0,1
0224440015210000,33;38;49;51;59;62;,1,0
0224465215213359,,0,0
0224465215213300,59;,1,0
0224465915213352,,0,0
0224465915213300,52;,1,0
0224460015213300,52;59;,0,1
0224464915213560,,0,0
0224464915213500,60;,1,0
0224466015213549,,0,0
0224466015213500,49;,1,0
0224460015213500,49;60;,0,1
0224466015214900,35;,1,0
0224460015214900,35;60;,0,1
0224465915215200,33;,1,0
0224460015215200,33;59;,0,1
0224465215215900,33;,1,0
0224460015215900,33;52;,0,1
0224464915216000,35;,1,0
0224460015216000,35;49;,0,1
0224460015210000,33;35;49;52;59;60;,1,0
0224496015213546,,1,0
0224496015213500,46;,0,1
0224490015213500,46;60;,1,0
0224495915213844,,1,0
0224495915213800,44;,0,1
0224490015213800,44;59;,1,0
0224495915214400,38;,0,1
0224490015214400,38;59;,1,0
0224496015214600,35;,0,1
0224490015214600,35;60;,1,0
0224490015215900,38;44;,0,1
0224490015216000,35;46;,0,1
0224490015210000,35;38;44;46;59;60;,1,0
0224516215213344,,0,1
0224516215213300,44;,0,1
0224510015213300,44;62;,0,1
0224516015213841,,0,0
0224516015213800,41;,1,0
0224510015213800,41;60;,0,1
0224516015214100,38;,1,0
0224510015214100,38;60;,0,1
0224516215214400,33;,0,1
0224510015214400,33;62;,1,0
0224510015216000,38;41;,0,1
0224510015216200,33;44;,1,0
0224510015210000,33;38;41;44;60;62;,1,0
0224525915213346,,0,0
0224525915213300,46;,1,0
0224520015213300,46;59;,0,1
0224526215213541,,0,0
0224526215213500,41;,1,0
0224520015213500,41;62;,1,0
0224526215214100,35;,1,0
0224520015214100,35;62;,0,1
0224525915214600,33;,1,0
0224520015214600,33;59;,0,1
0224520015215900,33;46;,0,1
0224520015216200,35;41;,1,0
0224520015210000,33;35;41;46;59;62;,1,0
0224590015213300,46;52;,0,1
0224590015213800,44;49;,1,0
0224590015214400,38;49;,1,0
0224590015214600,33;52;,0,1
0224590015214900,38;44;,0,1
0224590015215200,33;46;,0,1
0224590015210000,33;38;44;46;49;52;,1,0
0224600015213500,46;49;,1,0
0224600015213800,41;51;,0,1
0224600015214100,38;51;,0,1
0224600015214600,35;49;,1,0
0224600015214900,35;46;,0,1
0224600015215100,38;41;,0,1
