GameState,PossibleArrows,WinProb,TieProb
0208303523536000,41;,1,0
0208304123536000,35;,0,1
0208300023536000,35;41;,1,0
0208300023530000,33;35;41;44;59;60;,0.5,0.5
0208334423535900,30;,1,0
0208330023535900,30;44;,1,0
0208334323536200,28;,0,1
0208330023536200,28;43;,1,0
0208330023530000,28;30;43;44;59;62;,0.5,0.5
0208354123536000,30;,0,1
0208350023536000,30;41;,0,1
0208354423536200,25;,0,1
0208350023536200,25;44;,1,0
0208350023530000,25;30;41;44;60;62;,1,0
0208384123535900,28;,1,0
0208380023535900,28;41;,0,1
0208384323536000,25;,0,1
0208380023536000,25;43;,0,1
0208380023530000,25;28;41;43;59;60;,1,0
0208410023535900,28;38;,0,1
0208410023536000,30;35;,1,0
0208410023530000,28;30;35;38;59;60;,1,0
0208430023536000,25;38;,0,1
0208430023536200,28;33;,1,0
0208430023530000,25;28;33;38;60;62;,0,1
0208440023535900,30;33;,0,1
0208440023536200,25;35;,1,0
0208440023530000,25;30;33;35;59;62;,1,0
0208590023530000,28;30;33;38;41;44;,1,0
0208600023530000,25;30;35;38;41;43;,0.5,0.5
0208620023530000,25;28;33;35;43;44;,0.5,0.5
0208000023530000,25;28;30;33;35;38;41;43;44;59;60;62;,1,0
0208280023590000,37;38;41;46;49;53;,1,0
0208290023590000,33;38;44;46;49;52;,1,0
0208300023590000,33;37;41;44;52;53;,1,0
0208330023590000,29;30;44;46;52;53;,1,0
0208370023590000,28;30;41;46;49;52;,1,0
0208380023590000,28;29;41;44;49;53;,1,0
0208410023590000,28;30;37;38;52;53;,1,0
0208440023590000,29;30;33;38;49;53;,1,0
0208460023590000,28;29;33;37;49;52;,1,0
0208490023590000,28;29;37;38;44;46;,1,0
0208520023590000,29;30;33;37;41;46;,1,0
0208530023590000,28;30;33;38;41;44;,1,0
0208000023590000,28;29;30;33;37;38;41;44;46;49;52;53;,0.333333,0.666667
0208250023600000,37;38;43;46;51;53;,1,0
0208290023600000,35;38;41;46;49;51;,1,0
0208300023600000,35;37;41;43;49;53;,1,0
0208350023600000,29;30;41;46;49;53;,1,0
0208370023600000,25;30;43;46;49;51;,1,0
0208380023600000,25;29;41;43;51;53;,1,0
0208410023600000,29;30;35;38;51;53;,1,0
0208430023600000,25;30;37;38;49;53;,1,0
0208460023600000,25;29;35;37;49;51;,1,0
0208490023600000,29;30;35;37;43;46;,1,0
0208510023600000,25;29;37;38;41;46;,1,0
0208530023600000,25;30;35;38;41;43;,1,0
0208000023600000,25;29;30;35;37;38;41;43;46;49;51;53;,0.333333,0.666667
0208250023610000,35;38;44;46;51;52;,0.5,0.5
0208280023610000,33;38;43;46;49;51;,1,0
0208300023610000,33;35;43;44;49;52;,1,0
0208330023610000,28;30;43;46;51;52;,1,0
0208350023610000,25;30;44;46;49;52;,1,0
0208380023610000,25;28;43;44;49;51;,1,0
0208430023610000,28;30;33;38;49;52;,1,0
0208440023610000,25;30;35;38;49;51;,1,0
0208460023610000,25;28;33;35;51;52;,1,0
0208490023610000,28;30;35;38;43;44;,0.5,0.5
0208510023610000,25;28;33;38;44;46;,1,0
0208520023610000,25;30;33;35;43;46;,0.5,0.5
0208000023610000,25;28;30;33;35;38;43;44;46;49;51;52;,0.666667,0.333333
0208250023620000,35;37;43;44;52;53;,0,1
0208280023620000,33;37;41;43;51;53;,1,0
0208290023620000,33;35;41;44;51;52;,0.5,0.5
0208330023620000,28;29;43;44;51;53;,0,1
0208350023620000,25;29;41;44;52;53;,1,0
0208370023620000,25;28;41;43;51;52;,1,0
0208410023620000,28;29;35;37;51;52;,1,0
0208430023620000,25;28;33;37;52;53;,0,1
0208440023620000,25;29;33;35;51;53;,0.5,0.5
0208510023620000,28;29;33;37;41;44;,1,0
0208520023620000,25;29;35;37;41;43;,0.5,0.5
0208530023620000,25;28;33;35;43;44;,0.5,0.5
0208000023620000,25;28;29;33;35;37;41;43;44;51;52;53;,1,0
0208000023000000,25;28;29;30;33;35;37;38;41;43;44;46;49;51;52;53;59;60;61;62;,1,0
0211335323244462,,1,0
0211335323244400,62;,0,1
0211336223244453,,1,0
0211336223244400,53;,0,1
0211330023244400,53;62;,1,0
0211335223244661,,0,0
0211335223244600,61;,1,0
0211336123244652,,0,0
0211336123244600,52;,1,0
0211330023244600,52;61;,0,1
0211334623245261,,0,0
0211334623245200,61;,1,0
0211336123245200,46;,1,0
0211330023245200,46;61;,0,1
0211334423245362,,1,0
0211334423245300,62;,0,1
0211336223245300,44;,0,1
0211330023245300,44;62;,1,0
0211334623246100,52;,1,0
0211335223246100,46;,1,0
0211330023246100,46;52;,0,1
0211334423246200,53;,0,1
0211335323246200,44;,0,1
0211330023246200,44;53;,1,0
0211330023240000,44;46;52;53;61;62;,1,0
0211375223244162,,0,0
0211375223244100,62;,1,0
0211376223244152,,0,0
0211376223244100,52;,1,0
0211370023244100,52;62;,0,1
0211374923244660,,0,0
0211374923244600,60;,1,0
0211376023244649,,0,0
0211376023244600,49;,1,0
0211370023244600,49;60;,0,1
0211374623244960,,0,0
0211374623244900,60;,1,0
0211376023244900,46;,1,0
0211370023244900,46;60;,0,1
0211374123245262,,0,0
0211374123245200,62;,1,0
0211376223245200,41;,1,0
0211370023245200,41;62;,0,1
0211374623246000,49;,1,0
0211374923246000,46;,1,0
0211370023246000,46;49;,0,1
0211374123246200,52;,1,0
0211375223246200,41;,1,0
0211370023246200,41;52;,0,1
0211370023240000,41;46;49;52;60;62;,1,0
0211385323244160,,0,0
0211385323244100,60;,1,0
0211386023244153,,0,0
0211386023244100,53;,1,0
0211380023244100,53;60;,0,1
0211384923244461,,0,1
0211384923244400,61;,0,1
0211386123244449,,0,0
0211386123244400,49;,1,0
0211380023244400,49;61;,0,1
0211384423244961,,0,0
0211384423244900,61;,1,0
0211386123244900,44;,1,0
0211380023244900,44;61;,0,1
0211384123245360,,0,0
0211384123245300,60;,1,0
0211386023245300,41;,1,0
0211380023245300,41;60;,0,1
0211384123246000,53;,1,0
0211385323246000,41;,1,0
0211380023246000,41;53;,0,1
0211384423246100,49;,1,0
0211384923246100,44;,0,1
0211380023246100,44;49;,0,1
0211380023240000,41;44;49;53;60;61;,1,0
0211415223243762,,0,1
0211415223243700,62;,0,1
0211416223243752,,0,0
0211416223243700,52;,1,0
0211410023243700,52;62;,0,1
0211415323243860,,0,0
0211415323243800,60;,1,0
0211416023243853,,0,1
0211416023243800,53;,0,1
0211410023243800,53;60;,0,1
0211416223245200,37;,1,0
0211410023245200,37;62;,0,1
0211416023245300,38;,0,1
0211410023245300,38;60;,0,1
0211415323246000,38;,1,0
0211410023246000,38;53;,0,1
0211415223246200,37;,0,1
0211410023246200,37;52;,0,1
0211410023240000,37;38;52;53;60;62;,1,0
0211445323243362,,0,0
0211445323243300,62;,1,0
0211446223243353,,0,0
0211446223243300,53;,1,0
0211440023243300,53;62;,0,1
0211444923243861,,0,0
0211444923243800,61;,1,0
0211446123243849,,0,0
0211446123243800,49;,1,0
0211440023243800,49;61;,0,1
0211446123244900,38;,1,0
0211440023244900,38;61;,0,1
0211446223245300,33;,1,0
0211440023245300,33;62;,1,0
0211444923246100,38;,1,0
0211440023246100,38;49;,0,1
0211445323246200,33;,1,0
0211440023246200,33;53;,1,0
0211440023240000,33;38;49;53;61;62;,1,0
0211465223243361,,0,0
0211465223243300,61;,1,0
0211466123243352,,0,0
0211466123243300,52;,1,0
0211460023243300,52;61;,0,1
0211464923243760,,0,0
0211464923243700,60;,1,0
0211466023243749,,0,0
0211466023243700,49;,1,0
0211460023243700,49;60;,0,1
0211466023244900,37;,1,0
0211460023244900,37;60;,0,1
0211466123245200,33;,1,0
0211460023245200,33;61;,0,1
0211464923246000,37;,1,0
0211460023246000,37;49;,0,1
0211465223246100,33;,1,0
0211460023246100,33;52;,0,1
0211460023240000,33;37;49;52;60;61;,1,0
0211496023243746,,0,0
0211496023243700,46;,1,0
0211490023243700,46;60;,0,1
0211496123243844,,0,1
0211496123243800,44;,0,1
0211490023243800,44;61;,0,1
0211496123244400,38;,0,1
0211490023244400,38;61;,0,1
0211496023244600,37;,1,0
0211490023244600,37;60;,0,1
0211490023246000,37;46;,0,1
0211490023246100,38;44;,0,1
0211490023240000,37;38;44;46;60;61;,1,0
0211526123243346,,0,0
0211526123243300,46;,1,0
0211520023243300,46;61;,0,1
0211526223243741,,0,0
0211526223243700,41;,1,0
0211520023243700,41;62;,0,1
0211526223244100,37;,1,0
0211520023244100,37;62;,0,1
0211526123244600,33;,1,0
0211520023244600,33;61;,0,1
0211520023246100,33;46;,0,1
0211520023246200,37;41;,0,1
0211520023240000,33;37;41;46;61;62;,1,0
0211536223243344,,0,0
0211536223243300,44;,1,0
0211530023243300,44;62;,0,1
0211536023243841,,0,0
0211536023243800,41;,1,0
0211530023243800,41;60;,0,1
0211536023244100,38;,1,0
0211530023244100,38;60;,0,1
0211536223244400,33;,1,0
0211530023244400,33;62;,1,0
0211530023246000,38;41;,0,1
0211530023246200,33;44;,1,0
0211530023240000,33;38;41;44;60;62;,1,0
0211600023243700,46;49;,0,1
0211600023243800,41;53;,0,1
0211600023244100,38;53;,0,1
0211600023244600,37;49;,0,1
0211600023244900,37;46;,0,1
0211600023245300,38;41;,0,1
0211600023240000,37;38;41;46;49;53;,1,0
0211610023243300,46;52;,0,1
0211610023243800,44;49;,0,1
0211610023244400,38;49;,0,1
0211610023244600,33;52;,0,1
0211610023244900,38;44;,0,1
0211610023245200,33;46;,0,1
0211610023240000,33;38;44;46;49;52;,1,0
0211620023243300,44;53;,0,1
0211620023243700,41;52;,0,1
0211620023244100,37;52;,0,1
0211620023244400,33;53;,1,0
0211620023245200,37;41;,0,1
0211620023245300,33;44;,1,0
0211620023240000,33;37;41;44;52;53;,1,0
0211000023240000,33;37;38;41;44;46;49;52;53;60;61;62;,0.5,0.5
0211325323284162,,0,0
0211325323284100,62;,1,0
0211326223284153,,0,0
0211326223284100,53;,1,0
0211320023284100,53;62;,0,1
0211324923284661,,0,1
0211324923284600,61;,0,1
0211326123284649,,0,0
0211326123284600,49;,1,0
0211320023284600,49;61;,0,1
0211324623284961,,0,0
0211324623284900,61;,1,0
0211326123284900,46;,1,0
0211320023284900,46;61;,0,1
0211324123285362,,1,0
0211324123285300,62;,0,1
0211326223285300,41;,1,0
0211320023285300,41;62;,1,0
0211324623286100,49;,1,0
0211324923286100,46;,0,1
0211320023286100,46;49;,0,1
0211324123286200,53;,0,1
0211325323286200,41;,1,0
0211320023286200,41;53;,1,0
0211320023280000,41;46;49;53;61;62;,1,0
0211374923284062,,0,0
0211374923284000,62;,1,0
0211376223284049,,0,0
0211376223284000,49;,1,0
0211370023284000,49;62;,0,1
0211374823284657,,0,0
0211374823284600,57;,1,0
0211375723284648,,0,0
0211375723284600,48;,1,0
0211370023284600,48;57;,0,1
0211374623284857,,0,0
0211374623284800,57;,1,0
0211375723284800,46;,1,0
0211370023284800,46;57;,0,1
0211374023284962,,0,0
0211374023284900,62;,1,0
0211376223284900,40;,1,0
0211370023284900,40;62;,0,1
0211374623285700,48;,1,0
0211374823285700,46;,1,0
0211370023285700,46;48;,0,1
0211374023286200,49;,1,0
0211374923286200,40;,1,0
0211370023286200,40;49;,0,1
0211370023280000,40;46;48;49;57;62;,1,0
0211385323284057,,0,0
0211385323284000,57;,1,0
0211385723284053,,0,0
0211385723284000,53;,1,0
0211380023284000,53;57;,0,1
0211384823284161,,0,0
0211384823284100,61;,1,0
0211386123284148,,0,0
0211386123284100,48;,1,0
0211380023284100,48;61;,0,1
0211384123284861,,0,0
0211384123284800,61;,1,0
0211386123284800,41;,1,0
0211380023284800,41;61;,0,1
0211384023285357,,0,0
0211384023285300,57;,1,0
0211385723285300,40;,1,0
0211380023285300,40;57;,0,1
0211384023285700,53;,1,0
0211385323285700,40;,1,0
0211380023285700,40;53;,0,1
0211384123286100,48;,1,0
0211384823286100,41;,1,0
0211380023286100,41;48;,0,1
0211380023280000,40;41;48;53;57;61;,1,0
0211404923283762,,1,0
0211404923283700,62;,0,1
0211406223283749,,0,0
0211406223283700,49;,1,0
0211400023283700,49;62;,1,0
0211405323283857,,0,0
0211405323283800,57;,1,0
0211405723283853,,1,0
0211405723283800,53;,0,1
0211400023283800,53;57;,1,0
0211406223284900,37;,1,0
0211400023284900,37;62;,0,1
0211405723285300,38;,0,1
0211400023285300,38;57;,1,0
0211405323285700,38;,1,0
0211400023285700,38;53;,0,1
0211404923286200,37;,0,1
0211400023286200,37;49;,1,0
0211400023280000,37;38;49;53;57;62;,1,0
0211415323283262,,0,0
0211415323283200,62;,1,0
0211416223283253,,0,0
0211416223283200,53;,1,0
0211410023283200,53;62;,0,1
0211414823283861,,0,1
0211414823283800,61;,0,1
0211416123283848,,0,0
0211416123283800,48;,1,0
0211410023283800,48;61;,0,1
0211416123284800,38;,1,0
0211410023284800,38;61;,0,1
0211416223285300,32;,1,0
