GameState,PossibleArrows,WinProb,TieProb
0508000019000000,25;28;30;31;33;34;38;39;42;44;46;47;49;50;52;55;57;58;60;62;,0.983333,0.0166667
0510335519244660,,1,0
0510335519244600,60;,0,0
0510336019244655,,0,0
0510336019244600,55;,1,0
0510330019244600,55;60;,0.5,0.5
0510335219244762,,0,0
0510335219244700,62;,1,0
0510336219244752,,0,0
0510336219244700,52;,1,0
0510330019244700,52;62;,0,1
0510334719245262,,0,0
0510334719245200,62;,1,0
0510336219245200,47;,1,0
0510330019245200,47;62;,0,1
0510334619245560,,1,0
0510334619245500,60;,0,0
0510336019245500,46;,1,0
0510330019245500,46;60;,0.5,0.5
0510334619246000,55;,0,0
0510335519246000,46;,0,0
0510330019246000,46;55;,1,0
0510334719246200,52;,1,0
0510335219246200,47;,1,0
0510330019246200,47;52;,0,1
0510330019240000,46;47;52;55;60;62;,0.833333,0.166667
0510385519244457,,1,0
0510385519244400,57;,0,0
0510385719244455,,0,0
0510385719244400,55;,1,0
0510380019244400,55;57;,0.5,0.5
0510384919244760,,0,1
0510384919244700,60;,0,1
0510386019244749,,1,0
0510386019244700,49;,0,0
0510380019244700,49;60;,0.5,0.5
0510384719244960,,1,0
0510384719244900,60;,0,0
0510386019244900,47;,0,0
0510380019244900,47;60;,1,0
0510384419245557,,1,0
0510384419245500,57;,0,0
0510385719245500,44;,1,0
0510380019245500,44;57;,0.5,0.5
0510384419245700,55;,0,0
0510385519245700,44;,0,0
0510380019245700,44;55;,1,0
0510384719246000,49;,0,0
0510384919246000,47;,0,1
0510380019246000,47;49;,0.5,0.5
0510380019240000,44;47;49;55;57;60;,0.333333,0.666667
0510394919244462,,0,0
0510394919244400,62;,1,0
0510396219244449,,0,1
0510396219244400,49;,0,1
0510390019244400,49;62;,0,1
0510395219244657,,1,0
0510395219244600,57;,0,0
0510395719244652,,0,0
0510395719244600,52;,1,0
0510390019244600,52;57;,0.5,0.5
0510394419244962,,0,1
0510394419244900,62;,0,1
0510396219244900,44;,0,1
0510390019244900,44;62;,0,1
0510394619245257,,1,0
0510394619245200,57;,0,0
0510395719245200,46;,1,0
0510390019245200,46;57;,0.5,0.5
0510394619245700,52;,0,0
0510395219245700,46;,0,0
0510390019245700,46;52;,1,0
0510394419246200,49;,0,1
0510394919246200,44;,1,0
0510390019246200,44;49;,0,1
0510390019240000,44;46;49;52;57;62;,0.666667,0.333333
0510445519243857,,1,0
0510445519243800,57;,0,0
0510445719243855,,0,0
0510445719243800,55;,1,0
0510440019243800,55;57;,0.5,0.5
0510444919243962,,0,0
0510444919243900,62;,1,0
0510446219243949,,1,0
0510446219243900,49;,0,0
0510440019243900,49;62;,0.5,0.5
0510446219244900,39;,0,0
0510440019244900,39;62;,0.5,0.5
0510445719245500,38;,1,0
0510440019245500,38;57;,0.5,0.5
0510445519245700,38;,0,0
0510440019245700,38;55;,1,0
0510444919246200,39;,1,0
0510440019246200,39;49;,0,1
0510440019240000,38;39;49;55;57;62;,0.666667,0.333333
0510465519243360,,1,0
0510465519243300,60;,0,0
0510466019243355,,1,0
0510466019243300,55;,0,0
0510460019243300,55;60;,1,0
0510465219243957,,1,0
0510465219243900,57;,0,0
0510465719243952,,0,1
