GameState,PossibleArrows,WinProb,TieProb
1133000007290000,16;20;22;40;42;46;48;50;52;58;60;62;,1,0
1133406007305000,21;,0,0
1133400007305000,21;60;,1,0
1133405807305300,20;,1,0
1133400007305300,20;58;,0.5,0.5
1133405307305800,20;,0,0
1133400007305800,20;53;,1,0
1133405007306000,21;,0,0
1133400007306000,21;50;,1,0
1133400007300000,20;21;50;53;58;60;,0.333333,0.666667
1133426107304800,20;,0,0
1133420007304800,20;61;,1,0
1133426007305300,16;,1,0
1133420007305300,16;60;,0,1
1133425307306000,16;,0,0
1133420007306000,16;53;,0.5,0.5
1133424807306100,20;,0,1
1133420007306100,20;48;,0.5,0.5
1133420007300000,16;20;48;53;60;61;,0.333333,0.666667
1133445807304800,21;,0,0
1133440007304800,21;58;,1,0
1133446107305000,16;,0,0
1133440007305000,16;61;,1,0
1133444807305800,21;,0,0
1133440007305800,21;48;,1,0
1133445007306100,16;,0,1
1133440007306100,16;50;,0.5,0.5
1133440007300000,16;21;48;50;58;61;,0,1
1133486107304200,20;,0,0
1133480007304200,20;61;,1,0
1133485807304400,21;,1,0
1133480007304400,21;58;,0.5,0.5
1133480007305800,21;44;,1,0
1133480007306100,20;42;,0.5,0.5
1133480007300000,20;21;42;44;58;61;,0.333333,0.666667
1133506007304000,21;,0,0
1133500007304000,21;60;,1,0
1133506107304400,16;,1,0
1133500007304400,16;61;,0,1
1133500007306000,21;40;,1,0
1133500007306100,16;44;,0,1
1133500007300000,16;21;40;44;60;61;,0.5,0.5
1133535807304000,20;,0,0
1133530007304000,20;58;,1,0
1133536007304200,16;,0,0
1133530007304200,16;60;,1,0
1133530007305800,20;40;,1,0
1133530007306000,16;42;,1,0
1133530007300000,16;20;40;42;58;60;,0,1
1133580007304000,20;53;,1,0
1133580007304400,21;48;,0.5,0.5
1133580007304800,21;44;,1,0
1133580007305300,20;40;,0.5,0.5
1133580007300000,20;21;40;44;48;53;,0.666667,0.333333
1133600007304000,21;50;,1,0
1133600007304200,16;53;,0.5,0.5
1133600007305000,21;40;,1,0
1133600007305300,16;42;,0,1
1133600007300000,16;21;40;42;50;53;,0.333333,0.666667
1133610007304200,20;48;,1,0
1133610007304400,16;50;,0.5,0.5
1133610007304800,20;42;,1,0
1133610007305000,16;44;,1,0
1133610007300000,16;20;42;44;48;50;,0.333333,0.666667
1133000007300000,16;20;21;40;42;44;48;50;53;58;60;61;,1,0
1133500007406000,21;30;,1,0
1133500007406200,20;29;,1,0
1133500007400000,20;21;29;30;60;62;,0,1
1133520007405800,22;29;,1,0
1133520007406200,21;26;,0.5,0.5
1133520007400000,21;22;26;29;58;62;,0,1
1133530007405800,20;30;,1,0
1133530007406000,22;26;,1,0
1133530007400000,20;22;26;30;58;60;,0,1
1133580007405200,22;29;,1,0
1133580007405300,20;30;,1,0
1133580007400000,20;22;29;30;52;53;,0,1
1133600007405000,21;30;,1,0
1133600007405300,22;26;,0.5,0.5
1133600007400000,21;22;26;30;50;53;,0.333333,0.666667
1133620007405000,20;29;,1,0
1133620007405200,21;26;,1,0
1133620007400000,20;21;26;29;50;52;,0,1
1133000007400000,20;21;22;26;29;30;50;52;53;58;60;62;,1,0
1133480007426000,22;29;,0.5,0.5
1133480007426100,20;30;,0.5,0.5
1133480007420000,20;22;29;30;60;61;,0,1
1133520007426100,22;24;,0.5,0.5
1133520007426200,16;29;,0,1
1133520007420000,16;22;24;29;61;62;,0,1
1133530007426000,16;30;,1,0
1133530007426200,20;24;,0.5,0.5
1133530007420000,16;20;24;30;60;62;,0,1
1133600007424800,22;29;,1,0
1133600007425300,16;30;,0,1
1133600007420000,16;22;29;30;48;53;,0.333333,0.666667
1133610007424800,20;30;,1,0
1133610007425200,22;24;,0.5,0.5
1133610007420000,20;22;24;30;48;52;,0,1
1133620007425200,16;29;,1,0
1133620007425300,20;24;,0.5,0.5
1133620007420000,16;20;24;29;52;53;,0,1
1133000007420000,16;20;22;24;29;30;48;52;53;60;61;62;,0.958333,0.0416667
1133480007445800,21;30;,1,0
1133480007446100,22;26;,0,1
1133480007440000,21;22;26;30;58;61;,0.833333,0.166667
1133500007446100,16;30;,0,1
1133500007446200,21;24;,0,1
1133500007440000,16;21;24;30;61;62;,1,0
1133530007445800,22;24;,1,0
1133530007446200,16;26;,0,1
1133530007440000,16;22;24;26;58;62;,0.5,0.5
1133580007444800,21;30;,1,0
1133580007445300,22;24;,0,1
1133580007440000,21;22;24;30;48;53;,0.833333,0.166667
1133610007444800,22;26;,0.5,0.5
1133610007445000,16;30;,0.5,0.5
1133610007440000,16;22;26;30;48;50;,0.666667,0.333333
1133620007445000,21;24;,1,0
1133620007445300,16;26;,0,1
1133620007440000,16;21;24;26;50;53;,0.5,0.5
1133000007440000,16;21;22;24;26;30;48;50;53;58;61;62;,0.75,0.25
1133480007465800,20;29;,1,0
1133480007466000,21;26;,0.5,0.5
1133480007460000,20;21;26;29;58;60;,0.5,0.5
1133500007466000,16;29;,1,0
1133500007466100,20;24;,0.5,0.5
1133500007460000,16;20;24;29;60;61;,0,1
1133520007465800,21;24;,1,0
1133520007466100,16;26;,0,1
1133520007460000,16;21;24;26;58;61;,0.5,0.5
1133580007464800,20;29;,1,0
1133580007465200,21;24;,0,1
1133580007460000,20;21;24;29;48;52;,0,1
1133600007464800,21;26;,1,0
1133600007465000,16;29;,1,0
1133600007460000,16;21;26;29;48;50;,0.333333,0.666667
1133610007465000,20;24;,1,0
1133610007465200,16;26;,0,1
1133610007460000,16;20;24;26;50;52;,0.5,0.5
1133000007460000,16;20;21;24;26;29;48;50;52;58;60;61;,1,0
1133420007486000,22;29;,1,0
1133420007486100,20;30;,1,0
1133420007480000,20;22;29;30;60;61;,0,1
1133440007485800,21;30;,1,0
1133440007486100,22;26;,1,0
1133440007480000,21;22;26;30;58;61;,0,1
1133460007485800,20;29;,1,0
1133460007486000,21;26;,1,0
1133460007480000,20;21;26;29;58;60;,0,1
1133580007480000,20;21;29;30;44;46;,0,1
1133600007480000,21;22;26;29;42;46;,0,1
1133610007480000,20;22;26;30;42;44;,0,1
1133000007480000,20;21;22;26;29;30;42;44;46;58;60;61;,1,0
1133400007506000,21;30;,1,0
1133400007506200,20;29;,1,0
1133400007500000,20;21;29;30;60;62;,0,1
1133440007506100,16;30;,1,0
1133440007506200,21;24;,1,0
1133440007500000,16;21;24;30;61;62;,0,1
1133460007506000,16;29;,1,0
1133460007506100,20;24;,1,0
1133460007500000,16;20;24;29;60;61;,0,1
1133600007500000,16;21;29;30;40;46;,0,1
1133610007500000,16;20;24;30;44;46;,0,1
1133620007500000,20;21;24;29;40;44;,0,1
1133000007500000,16;20;21;24;29;30;40;44;46;60;61;62;,1,0
1133400007525800,22;29;,1,0
1133400007526200,21;26;,0,1
1133400007520000,21;22;26;29;58;62;,0.5,0.5
1133420007526100,22;24;,0,1
1133420007526200,16;29;,0,1
1133420007520000,16;22;24;29;61;62;,0.833333,0.166667
1133460007525800,21;24;,1,0
1133460007526100,16;26;,0.5,0.5
1133460007520000,16;21;24;26;58;61;,0,1
1133580007520000,21;22;24;29;40;46;,0,1
1133610007520000,16;22;24;26;42;46;,0.333333,0.666667
1133620007520000,16;21;26;29;40;42;,0.333333,0.666667
1133000007520000,16;21;22;24;26;29;40;42;46;58;61;62;,0.916667,0.0833333
1133400007535800,20;30;,1,0
1133400007536000,22;26;,0,1
1133400007530000,20;22;26;30;58;60;,0.833333,0.166667
1133420007536000,16;30;,0,1
1133420007536200,20;24;,0,1
1133420007530000,16;20;24;30;60;62;,1,0
1133440007535800,22;24;,1,0
1133440007536200,16;26;,0,1
1133440007530000,16;22;24;26;58;62;,0.5,0.5
1133580007530000,20;22;24;30;40;44;,0.833333,0.166667
1133600007530000,16;22;26;30;40;42;,1,0
1133620007530000,16;20;24;26;42;44;,0.5,0.5
1133000007530000,16;20;22;24;26;30;40;42;44;58;60;62;,0.666667,0.333333
1133400007580000,20;22;29;30;52;53;,0,1
1133440007580000,21;22;24;30;48;53;,0,1
1133460007580000,20;21;24;29;48;52;,0,1
1133480007580000,20;21;29;30;44;46;,0,1
1133520007580000,21;22;24;29;40;46;,0,1
1133530007580000,20;22;24;30;40;44;,0,1
1133000007580000,20;21;22;24;29;30;40;44;46;48;52;53;,1,0
1133400007600000,21;22;26;30;50;53;,0.333333,0.666667
1133420007600000,16;22;29;30;48;53;,0.333333,0.666667
1133460007600000,16;21;26;29;48;50;,0,1
1133480007600000,21;22;26;29;42;46;,0.333333,0.666667
1133500007600000,16;21;29;30;40;46;,0,1
1133530007600000,16;22;26;30;40;42;,0,1
