GameState,PossibleArrows,WinProb,TieProb
19974825693184,14;15;17;22;49;55;,0,1
19978046918656,11;15;17;23;49;51;,0.5,0.5
19981268144128,11;15;22;23;43;46;,0,1
19983415627776,14;15;17;23;41;46;,0,1
19987710595072,11;14;17;22;41;43;,0.5,0.5
19972678213632,11;15;21;23;51;53;,0,1
19974825697280,13;15;17;23;49;53;,0,1
19979120664576,11;13;17;21;49;51;,0.5,0.5
19981268148224,11;13;21;23;43;47;,0,1
19983415631872,13;15;17;21;41;47;,0,1
19985563115520,11;15;17;23;41;43;,0,1
19928654544896,11;13;14;15;17;21;22;23;41;43;46;47;49;51;53;55;57;59;61;62;,0.916667,0.0833333
20188500234240,14;15;19;23;59;62;,1,0
20189573976064,10;15;22;23;58;62;,1,0
20193868943360,10;14;19;22;58;59;,1,0
20197090168832,14;15;19;22;51;55;,1,0
20198163910656,10;14;22;23;50;55;,1,0
20201385136128,10;15;19;23;50;51;,1,0
20187426496512,11;15;22;23;59;62;,1,0
20189573980160,14;15;17;23;57;62;,1,0
20193868947456,11;14;17;22;57;59;,1,0
20196016431104,11;14;22;23;51;55;,1,0
20198163914752,14;15;17;22;49;55;,1,0
20201385140224,11;15;17;23;49;51;,1,0
20187426512896,10;15;19;23;58;59;,0.5,0.5
20188500254720,11;15;17;23;57;59;,1,0
20193868963840,10;11;17;19;57;58;,1,0
20196016447488,10;11;19;23;50;55;,1,0
20197090189312,11;15;17;19;49;55;,0.5,0.5
20198163931136,10;15;17;23;49;50;,0.5,0.5
20187426516992,10;11;19;22;58;62;,1,0
20188500258816,11;14;17;19;57;62;,1,0
20189574000640,10;14;17;22;57;58;,1,0
20196016451584,10;14;19;22;50;51;,0.5,0.5
20197090193408,11;14;17;22;49;51;,1,0
20201385160704,10;11;17;19;49;50;,1,0
20179910332416,11;15;22;23;59;62;,1,0
20184205299712,10;15;19;23;58;59;,1,0
20185279041536,10;11;19;22;58;62;,1,0
20197090201600,11;15;19;22;46;47;,1,0
20198163943424,10;15;22;23;42;46;,1,0
20201385168896,10;11;19;23;42;47;,1,0
20178836594688,14;15;19;23;59;62;,1,0
20184205303808,11;15;17;23;57;59;,1,0
20185279045632,11;14;17;19;57;62;,1,0
20196016463872,11;14;19;23;46;47;,1,0
20198163947520,14;15;17;23;41;46;,1,0
20201385172992,11;15;17;19;41;47;,1,0
20178836598784,10;15;22;23;58;62;,1,0
20179910340608,14;15;17;23;57;62;,1,0
20185279049728,10;14;17;22;57;58;,1,0
20196016467968,10;14;22;23;42;47;,1,0
20197090209792,14;15;17;22;41;47;,1,0
20201385177088,10;15;17;23;41;42;,1,0
20178836615168,10;14;19;22;58;59;,0.5,0.5
20179910356992,11;14;17;22;57;59;,1,0
20184205324288,10;11;17;19;57;58;,1,0
20196016484352,10;11;19;22;42;46;,1,0
20197090226176,11;14;17;19;41;46;,0.5,0.5
20198163968000,10;14;17;22;41;42;,0.5,0.5
20179910365184,11;14;22;23;51;55;,1,0
20184205332480,10;11;19;23;50;55;,1,0
20185279074304,10;14;19;22;50;51;,1,0
20188500299776,11;14;19;23;46;47;,1,0
20189574041600,10;14;22;23;42;47;,1,0
20193869008896,10;11;19;22;42;46;,1,0
20178836627456,14;15;19;22;51;55;,1,0
20184205336576,11;15;17;19;49;55;,1,0
20185279078400,11;14;17;22;49;51;,1,0
20187426562048,11;15;19;22;46;47;,1,0
20189574045696,14;15;17;22;41;47;,1,0
20193869012992,11;14;17;19;41;46;,1,0
20178836631552,10;14;22;23;50;55;,1,0
20179910373376,14;15;17;22;49;55;,1,0
20184205340672,10;15;17;23;49;50;,1,0
20187426566144,10;15;22;23;42;46;,1,0
20188500307968,14;15;17;23;41;46;,1,0
20193869017088,10;14;17;22;41;42;,1,0
20178836643840,10;15;19;23;50;51;,0.5,0.5
20179910385664,11;15;17;23;49;51;,0.5,0.5
20185279094784,10;11;17;19;49;50;,1,0
20187426578432,10;11;19;23;42;47;,0,1
20188500320256,11;15;17;19;41;47;,0.5,0.5
20189574062080,10;15;17;23;41;42;,0.5,0.5
20134812975104,10;11;14;15;17;19;22;23;41;42;46;47;49;50;51;55;57;58;59;62;,1,0
20257219710976,11;15;21;23;59;61;,1,0
20260440936448,10;15;19;23;58;59;,1,0
20262588420096,10;11;19;21;58;61;,1,0
20265809645568,11;15;19;21;53;55;,1,0
20266883387392,10;15;21;23;50;53;,1,0
20269030871040,10;11;19;23;50;55;,1,0
20256145973248,13;15;19;23;59;61;,0.5,0.5
20260440940544,11;15;17;23;57;59;,1,0
20262588424192,11;13;17;19;57;61;,1,0
20264735907840,11;13;19;23;53;55;,1,0
20266883391488,13;15;17;23;49;53;,0.5,0.5
20269030875136,11;15;17;19;49;55;,0.5,0.5
20256145977344,10;15;21;23;58;61;,0.5,0.5
20257219719168,13;15;17;23;57;61;,0.5,0.5
20262588428288,10;13;17;21;57;58;,1,0
20264735911936,10;13;21;23;50;55;,0,1
20265809653760,13;15;17;21;49;55;,0.5,0.5
20269030879232,10;15;17;23;49;50;,0.5,0.5
20256145993728,10;13;19;21;58;59;,0.5,0.5
20257219735552,11;13;17;21;57;59;,1,0
20260440961024,10;11;17;19;57;58;,1,0
20264735928320,10;11;19;21;50;53;,0.5,0.5
20265809670144,11;13;17;19;49;53;,0.5,0.5
20266883411968,10;13;17;21;49;50;,1,0
20248629809152,13;15;19;23;59;61;,1,0
20249703550976,10;15;21;23;58;61;,1,0
20253998518272,10;13;19;21;58;59;,1,0
20265809678336,13;15;19;21;43;47;,1,0
20266883420160,10;13;21;23;42;47;,1,0
20269030903808,10;15;19;23;42;43;,1,0
20247556071424,11;15;21;23;59;61;,1,0
20249703555072,13;15;17;23;57;61;,1,0
20253998522368,11;13;17;21;57;59;,1,0
20264735940608,11;13;21;23;43;47;,1,0
20266883424256,13;15;17;21;41;47;,1,0
20269030907904,11;15;17;23;41;43;,1,0
20247556083712,10;15;19;23;58;59;,0.5,0.5
20248629825536,11;15;17;23;57;59;,0.5,0.5
20253998534656,10;11;17;19;57;58;,1,0
20264735952896,10;11;19;23;42;47;,0,1
20265809694720,11;15;17;19;41;47;,0.5,0.5
20266883436544,10;15;17;23;41;42;,0.5,0.5
20247556091904,10;11;19;21;58;61;,1,0
20248629833728,11;13;17;19;57;61;,1,0
20249703575552,10;13;17;21;57;58;,1,0
20264735961088,10;13;19;21;42;43;,0.5,0.5
20265809702912,11;13;17;21;41;43;,0.5,0.5
20269030928384,10;11;17;19;41;42;,1,0
20248629841920,11;13;19;23;53;55;,1,0
20249703583744,10;13;21;23;50;55;,1,0
20253998551040,10;11;19;21;50;53;,1,0
20257219776512,11;13;21;23;43;47;,1,0
20260441001984,10;11;19;23;42;47;,1,0
20262588485632,10;13;19;21;42;43;,1,0
20247556104192,11;15;19;21;53;55;,1,0
20249703587840,13;15;17;21;49;55;,1,0
20253998555136,11;13;17;19;49;53;,1,0
20256146038784,13;15;19;21;43;47;,1,0
20260441006080,11;15;17;19;41;47;,1,0
20262588489728,11;13;17;21;41;43;,1,0
20247556108288,10;15;21;23;50;53;,1,0
20248629850112,13;15;17;23;49;53;,1,0
20253998559232,10;13;17;21;49;50;,1,0
20256146042880,10;13;21;23;42;47;,1,0
20257219784704,13;15;17;21;41;47;,1,0
20260441010176,10;15;17;23;41;42;,1,0
20247556116480,10;11;19;23;50;55;,0.5,0.5
20248629858304,11;15;17;19;49;55;,0.5,0.5
20249703600128,10;15;17;23;49;50;,0.5,0.5
20256146051072,10;15;19;23;42;43;,0.5,0.5
20257219792896,11;15;17;23;41;43;,0.5,0.5
20262588502016,10;11;17;19;41;42;,1,0
20203532451840,10;11;13;15;17;19;21;23;41;42;43;47;49;50;53;55;57;58;59;61;,1,0
20325939187712,11;14;19;21;61;62;,0.5,0.5
20327012929536,10;14;21;22;58;61;,0.5,0.5
20329160413184,10;11;19;22;58;62;,1,0
20334529122304,11;14;21;22;51;53;,0,1
20337750347776,10;14;19;22;50;51;,0.5,0.5
20338824089600,10;11;19;21;50;53;,1,0
20324865449984,11;13;19;22;61;62;,0,1
20327012933632,13;14;17;22;57;61;,1,0
20329160417280,11;14;17;19;57;62;,0.5,0.5
20333455384576,13;14;19;22;51;53;,0,1
20337750351872,11;14;17;22;49;51;,0.5,0.5
20338824093696,11;13;17;19;49;53;,0.5,0.5
20324865454080,10;13;21;22;58;62;,0,1
20325939195904,13;14;17;21;57;62;,0.5,0.5
20329160421376,10;14;17;22;57;58;,0.5,0.5
20333455388672,10;14;21;22;50;53;,0,1
20334529130496,13;14;17;22;49;53;,0,1
20338824097792,10;13;17;21;49;50;,0.5,0.5
