GameState,PossibleArrows,WinProb,TieProb
0711170024380000,42;44;50;53;60;61;,1,0
0711205324384158,,1,0
0711205324384100,58;,0,0
0711205824384153,,0,0
0711205824384100,53;,1,0
0711200024384100,53;58;,0.5,0.5
0711204924384261,,0,0
0711204924384200,61;,1,0
0711206124384249,,0,1
0711206124384200,49;,0,1
0711200024384200,49;61;,0,1
0711204224384961,,0,0
0711204224384900,61;,1,0
0711206124384900,42;,0,1
0711200024384900,42;61;,0,1
0711204124385358,,0,0
0711204124385300,58;,1,0
0711205824385300,41;,1,0
0711200024385300,41;58;,0,1
0711204124385800,53;,1,0
0711205324385800,41;,0,0
0711200024385800,41;53;,0.5,0.5
0711204224386100,49;,1,0
0711204924386100,42;,1,0
0711200024386100,42;49;,0,1
0711200024380000,41;42;49;53;58;61;,1,0
0711215024384160,,0,0
0711215024384100,60;,1,0
0711216024384150,,0,0
0711216024384100,50;,1,0
0711210024384100,50;60;,0,1
0711214924384458,,0,0
0711214924384400,58;,1,0
0711215824384449,,0,0
0711215824384400,49;,1,0
0711210024384400,49;58;,0,1
0711214424384958,,1,0
0711214424384900,58;,0,0
0711215824384900,44;,1,0
0711210024384900,44;58;,0.5,0.5
0711214124385060,,0,0
0711214124385000,60;,1,0
0711216024385000,41;,1,0
0711210024385000,41;60;,0,1
0711214424385800,49;,0,0
0711214924385800,44;,1,0
0711210024385800,44;49;,0.5,0.5
0711214124386000,50;,1,0
0711215024386000,41;,1,0
0711210024386000,41;50;,0,1
0711210024380000,41;44;49;50;58;60;,1,0
0711416024385000,21;,1,0
0711410024385000,21;60;,0,1
0711415824385300,20;,1,0
0711410024385300,20;58;,0,1
0711415324385800,20;,1,0
0711410024385800,20;53;,0,1
0711415024386000,21;,1,0
0711410024386000,21;50;,0,1
0711410024380000,20;21;50;53;58;60;,1,0
0711426124384900,20;,1,0
0711420024384900,20;61;,0,1
0711426024385300,17;,1,0
0711420024385300,17;60;,0,1
0711425324386000,17;,1,0
0711420024386000,17;53;,0,1
0711424924386100,20;,1,0
0711420024386100,20;49;,0,1
0711420024380000,17;20;49;53;60;61;,1,0
0711445824384900,21;,1,0
0711440024384900,21;58;,0.5,0.5
0711446124385000,17;,1,0
0711440024385000,17;61;,0,1
0711444924385800,21;,1,0
0711440024385800,21;49;,0.5,0.5
0711445024386100,17;,1,0
0711440024386100,17;50;,0,1
0711440024380000,17;21;49;50;58;61;,1,0
0711496124384200,20;,1,0
0711490024384200,20;61;,0,1
0711495824384400,21;,1,0
0711490024384400,21;58;,0,1
0711490024385800,21;44;,0,1
0711490024386100,20;42;,0,1
0711490024380000,20;21;42;44;58;61;,1,0
0711506024384100,21;,1,0
0711500024384100,21;60;,0,1
0711506124384400,17;,1,0
0711500024384400,17;61;,0,1
0711500024386000,21;41;,0,1
0711500024386100,17;44;,0,1
0711500024380000,17;21;41;44;60;61;,1,0
0711535824384100,20;,1,0
0711530024384100,20;58;,0.5,0.5
0711536024384200,17;,1,0
0711530024384200,17;60;,0,1
0711530024385800,20;41;,0.5,0.5
0711530024386000,17;42;,0,1
0711530024380000,17;20;41;42;58;60;,1,0
0711580024384100,20;53;,0,1
0711580024384400,21;49;,0,1
0711580024384900,21;44;,0,1
0711580024385300,20;41;,0,1
0711580024380000,20;21;41;44;49;53;,1,0
0711600024384100,21;50;,0,1
0711600024384200,17;53;,0,1
0711600024385000,21;41;,0,1
0711600024385300,17;42;,0,1
0711600024380000,17;21;41;42;50;53;,1,0
0711610024384200,20;49;,0,1
0711610024384400,17;50;,0,1
0711610024384900,20;42;,0,1
0711610024385000,17;44;,0,1
0711610024380000,17;20;42;44;49;50;,1,0
0711000024380000,17;20;21;41;42;44;49;50;53;58;60;61;,0.166667,0.833333
0711203724415062,,0,1
0711203724415000,62;,0,1
0711206224415000,37;,0,1
0711200024415000,37;62;,0,1
0711203824415358,,0,1
0711203824415300,58;,0,1
0711205824415300,38;,1,0
0711200024415300,38;58;,0,1
0711203824415800,53;,0,1
0711205324415800,38;,0,0
0711200024415800,38;53;,0.5,0.5
0711203724416200,50;,0,1
0711205024416200,37;,1,0
0711200024416200,37;50;,0,1
0711200024410000,37;38;50;53;58;62;,0.666667,0.333333
0711213824415060,,0,1
0711213824415000,60;,0,1
0711216024415000,38;,1,0
0711210024415000,38;60;,0,1
0711213424415262,,0,0
0711213424415200,62;,1,0
0711216224415200,34;,1,0
0711210024415200,34;62;,0,1
0711213824416000,50;,0,1
0711215024416000,38;,1,0
0711210024416000,38;50;,0,1
0711213424416200,52;,1,0
0711215224416200,34;,1,0
0711210024416200,34;52;,0,1
0711210024410000,34;38;50;52;60;62;,1,0
0711223724415258,,0,1
0711223724415200,58;,0,1
0711225824415200,37;,1,0
0711220024415200,37;58;,0,1
0711223424415360,,0,0
0711223424415300,60;,1,0
0711226024415300,34;,1,0
0711220024415300,34;60;,0,1
0711223724415800,52;,0,1
0711225224415800,37;,1,0
0711220024415800,37;52;,0,1
0711223424416000,53;,1,0
0711225324416000,34;,1,0
0711220024416000,34;53;,0,1
0711220024410000,34;37;52;53;58;60;,1,0
0711346224415200,21;,1,0
0711340024415200,21;62;,0,1
0711346024415300,22;,1,0
0711340024415300,22;60;,0,1
0711345324416000,22;,1,0
0711340024416000,22;53;,0,1
0711345224416200,21;,1,0
0711340024416200,21;52;,0,1
0711340024410000,21;22;52;53;60;62;,1,0
0711376224415000,20;,0,0
0711370024415000,20;62;,0.5,0.5
0711375824415200,22;,1,0
0711370024415200,22;58;,0,1
0711375224415800,22;,0,0
0711370024415800,22;52;,0.5,0.5
0711375024416200,20;,1,0
0711370024416200,20;50;,0,1
0711370024410000,20;22;50;52;58;62;,0.666667,0.333333
0711386024415000,21;,0,1
0711380024415000,21;60;,0,1
0711385824415300,20;,1,0
0711380024415300,20;58;,0,1
0711385324415800,20;,0,0
0711380024415800,20;53;,0.5,0.5
0711385024416000,21;,1,0
0711380024416000,21;50;,0,1
0711380024410000,20;21;50;53;58;60;,0.666667,0.333333
0711500024416000,21;38;,0,1
0711500024416200,20;37;,0,1
0711500024410000,20;21;37;38;60;62;,1,0
0711520024415800,22;37;,0.5,0.5
0711520024416200,21;34;,0,1
0711520024410000,21;22;34;37;58;62;,1,0
0711530024415800,20;38;,1,0
0711530024416000,22;34;,0,1
0711530024410000,20;22;34;38;58;60;,0.833333,0.166667
0711580024415200,22;37;,0,1
0711580024415300,20;38;,0,1
0711580024410000,20;22;37;38;52;53;,1,0
0711600024415000,21;38;,0,1
0711600024415300,22;34;,0,1
0711600024410000,21;22;34;38;50;53;,1,0
0711620024415000,20;37;,0.5,0.5
0711620024415200,21;34;,0,1
