GameState,PossibleArrows,WinProb,TieProb
0116536212313500,42;,0,0
0116530012313500,42;62;,0.5,0.5
0116535812313843,,1,0
0116535812313800,43;,0,0
0116530012313800,43;58;,1,0
0116536212314200,35;,0,0
0116530012314200,35;62;,1,0
0116535812314300,38;,0,0
0116530012314300,38;58;,1,0
0116530012315800,38;43;,1,0
0116530012316200,35;42;,0.5,0.5
0116530012310000,35;38;42;43;58;62;,0.333333,0.666667
0116580012313700,46;51;,1,0
0116580012313800,43;53;,0.5,0.5
0116580012314300,38;53;,0.5,0.5
0116580012314600,37;51;,1,0
0116580012315100,37;46;,1,0
0116580012315300,38;43;,0,1
0116580012310000,37;38;43;46;51;53;,0,1
0116610012313500,46;50;,0.5,0.5
0116610012313800,42;51;,1,0
0116610012314200,38;51;,1,0
0116610012314600,35;50;,0.5,0.5
0116610012315000,35;46;,1,0
0116610012315100,38;42;,1,0
0116610012310000,35;38;42;46;50;51;,0,1
0116620012313500,42;53;,0.5,0.5
0116620012313700,43;50;,1,0
0116620012314200,35;53;,1,0
0116620012314300,37;50;,1,0
0116620012315000,37;43;,1,0
0116620012315300,35;42;,0.5,0.5
0116620012310000,35;37;42;43;50;53;,0.333333,0.666667
0116000012310000,35;37;38;42;43;46;50;51;53;58;61;62;,1,0
0116295512354658,,1,0
0116295512354600,58;,0,0
0116295812354655,,0,1
0116295812354600,55;,0,1
0116290012354600,55;58;,0.5,0.5
0116295012354762,,0,0
0116295012354700,62;,1,0
0116296212354750,,1,0
0116296212354700,50;,0,0
0116290012354700,50;62;,0.5,0.5
0116294712355062,,1,0
0116294712355000,62;,0,0
0116296212355000,47;,0,0
0116290012355000,47;62;,1,0
0116294612355558,,1,0
0116294612355500,58;,0,0
0116295812355500,46;,0,1
0116290012355500,46;58;,0.5,0.5
0116294612355800,55;,0,0
0116295512355800,46;,0,0
0116290012355800,46;55;,1,0
0116294712356200,50;,0,0
0116295012356200,47;,1,0
0116290012356200,47;50;,0.5,0.5
0116290012350000,46;47;50;55;58;62;,0.333333,0.666667
0116305512354261,,1,0
0116305512354200,61;,0,0
0116306112354255,,0,1
0116306112354200,55;,0,1
0116300012354200,55;61;,0.5,0.5
0116305312354758,,1,0
0116305312354700,58;,0,0
0116305812354753,,0,0
0116305812354700,53;,1,0
0116300012354700,53;58;,0.5,0.5
0116304712355358,,1,0
0116304712355300,58;,0,0
0116305812355300,47;,1,0
0116300012355300,47;58;,0.5,0.5
0116304212355561,,0,0
0116304212355500,61;,1,0
0116306112355500,42;,0,1
0116300012355500,42;61;,0,1
0116304712355800,53;,0,0
0116305312355800,47;,0,0
0116300012355800,47;53;,1,0
0116304212356100,55;,1,0
0116305512356100,42;,0,0
0116300012356100,42;55;,0.5,0.5
0116300012350000,42;47;53;55;58;61;,0.666667,0.333333
0116315312354262,,0,0
0116315312354200,62;,1,0
0116316212354253,,0,0
0116316212354200,53;,1,0
0116310012354200,53;62;,0,1
0116315012354661,,0,0
0116315012354600,61;,1,0
0116316112354650,,0,1
0116316112354600,50;,0,1
0116310012354600,50;61;,0,1
0116314612355061,,1,0
0116314612355000,61;,0,0
0116316112355000,46;,0,1
0116310012355000,46;61;,0.5,0.5
0116314212355362,,0,0
0116314212355300,62;,1,0
0116316212355300,42;,1,0
0116310012355300,42;62;,0,1
0116314612356100,50;,0,0
0116315012356100,46;,1,0
