GameState,PossibleArrows,WinProb,TieProb
107877769231104,10;62;,1,0
107877769232128,14;42;,1,0
107877769232256,10;44;,1,0
107885285423744,14;53;,1,0
107885285424000,13;50;,0,1
107885285424256,13;46;,0,1
107885285424448,14;42;,1,0
107886359165696,14;50;,1,0
107886359165824,10;52;,0,1
107886359166080,14;44;,1,0
107886359166208,10;46;,0,1
107887432907392,13;52;,1,0
107887432907520,10;53;,1,0
107887432908032,13;42;,1,0
107887432908096,10;44;,1,0
107820860911616,10;13;14;42;44;46;50;52;53;60;61;62;,1,0
107865958075584,14;61;,1,0
107865958075712,11;62;,1,0
107865958076224,14;51;,1,0
107865958076288,11;53;,1,0
107867031817344,13;62;,1,0
107867031817536,14;58;,1,0
107867031817856,14;53;,1,0
107867031818112,13;50;,1,0
107870253042816,11;61;,0,1
107870253042880,13;58;,0,1
107870253043328,13;51;,0,1
107870253043520,11;50;,0,1
107874548009664,13;62;,1,0
107874548009856,11;61;,0,1
107874548010816,11;46;,0,1
107874548010880,13;43;,1,0
107875621751424,14;61;,1,0
107875621751680,13;58;,0,1
107875621752448,13;46;,0,1
107875621752640,14;42;,1,0
107877769235072,11;62;,0,1
107877769235136,14;58;,0,1
107877769236096,14;43;,0,1
107877769236352,11;42;,1,0
107883137944256,14;53;,1,0
107883137944448,13;51;,1,0
107883137944768,13;46;,1,0
107883137944896,14;43;,1,0
107886359169664,14;51;,1,0
107886359169920,11;50;,0,1
107886359170176,11;46;,0,1
107886359170240,14;42;,1,0
107887432911488,11;53;,0,1
107887432911552,13;50;,0,1
107887432912000,13;43;,0,1
107887432912192,11;42;,1,0
107820860915712,11;13;14;42;43;46;50;51;53;58;61;62;,1,0
107867031821440,14;60;,0,1
107867031821568,10;62;,0,1
107867031822080,14;50;,0,1
107867031822208,10;52;,1,0
107868105563264,11;62;,0,1
107868105563328,14;58;,0,1
107868105563776,14;51;,0,1
107868105564032,11;50;,1,0
107870253046976,10;60;,0,1
107870253047040,11;58;,0,1
107870253047424,11;52;,0,1
107870253047552,10;51;,0,1
107874548013760,14;60;,1,0
107874548013824,11;62;,1,0
107874548014848,14;43;,1,0
107874548014976,11;44;,1,0
107875621755648,14;58;,1,0
107875621755776,10;60;,0,1
107875621756544,14;44;,1,0
107875621756672,10;46;,0,1
107876695497408,10;62;,0,1
107876695497600,11;58;,0,1
107876695498368,11;46;,0,1
