GameState,PossibleArrows,WinProb,TieProb
15153722129024,53;56;,0,1
15154393218237,,0,0
15153722129536,40;61;,0,1
15154426772856,,0,0
15153722129728,42;56;,0,1
15153722129920,42;53;,0,1
15153722130240,40;50;,0,1
15155685063225,,0,0
15155752172085,,0,0
15154795870720,53;57;,0,1
15155601177213,,0,0
15155819281008,,0,0
15154795870784,48;61;,0,1
15155483737149,,0,0
15154795871232,41;61;,0,1
15155466960249,,0,0
15154795871552,40;57;,0,1
15154795871808,40;53;,0,1
15154795872064,41;48;,0,1
15158855957112,,0,0
15158956620402,,0,0
15158017096256,50;56;,0,1
15158822402745,,0,0
15158973397680,,0,0
15158017096320,48;57;,0,1
15158721739833,,0,0
15158017096704,42;57;,0,1
15158704962744,,0,0
15158017096832,41;56;,0,1
15158017097216,41;50;,0,1
15158017097280,42;48;,0,1
15162077182077,,0,0
15162261731442,,0,0
15161238321216,50;61;,0,1
15162127513785,,0,0
15162194622645,,1,0
15161238321280,53;57;,1,0
15161238322304,33;61;,0,1
15161238322496,34;57;,1,0
15161238322752,34;53;,0,1
15161238323008,33;50;,0,1
15163117369533,,0,1
15163335473328,,0,0
15162312063104,48;61;,0,1
15163150924152,,0,0
15163251587442,,0,0
15162312063296,50;56;,0,1
15162312064000,34;61;,0,1
15162312064128,37;56;,0,1
15162312064512,37;50;,0,1
15162312064832,34;48;,0,1
15164274997368,,0,0
15164325329013,,0,1
15163385804864,53;56;,0,1
15164191111545,,0,0
15164342106480,,0,0
15163385805120,48;57;,0,1
15163385805824,37;57;,0,1
15163385806144,33;56;,0,1
15163385806336,33;53;,0,1
15163385806400,37;48;,0,1
15170851666089,,0,0
15169828255872,41;61;,0,1
15170784557418,,0,0
15169828256064,42;57;,0,1
15169828256320,34;61;,0,1
15169828256384,37;57;,0,1
15169828257344,37;42;,0,1
15169828257600,34;41;,0,1
15172999149672,,0,0
15171975739456,40;61;,0,1
15172915263849,,0,0
15171975739712,41;56;,0,1
15171975739904,33;61;,0,1
15171975739968,37;56;,0,1
15171975740928,37;41;,0,1
15171975741248,33;40;,0,1
15176136489066,,0,0
15175196964928,42;56;,0,1
15176153266344,,0,0
15175196964992,40;57;,0,1
15175196965376,34;57;,0,1
15175196965504,33;56;,0,1
15175196966400,33;42;,0,1
15175196966464,34;40;,0,1
15178418190400,42;53;,0,1
15178418190656,41;50;,0,1
15178418190912,37;50;,0,1
15178418190976,33;53;,0,1
15178418191488,37;41;,0,1
15178418191680,33;42;,0,1
15179491932288,40;53;,1,0
15179491932480,42;48;,0,1
15179491932672,34;53;,0,1
15179491932800,37;48;,0,1
15179491933184,37;42;,0,1
15179491933504,34;40;,1,0
15183786899520,40;50;,0,1
15183786899584,41;48;,0,1
15183786899968,33;50;,0,1
15183786900032,34;48;,0,1
15183786900480,34;41;,0,1
15183786900608,33;40;,0,1
15118288646144,33;34;37;40;41;42;48;50;53;56;57;61;,0.333333,0.666667
15161238363264,23;61;,0,1
15161238363584,21;58;,0,1
15161238363776,21;55;,0,1
15161238363968,23;50;,0,1
15163385847104,23;56;,0,1
15163385847232,16;61;,0,1
15163385847296,23;53;,0,1
15163385847616,16;55;,0,1
15168754556032,21;56;,0,1
15168754556224,16;58;,0,1
15168754556416,21;50;,0,1
15168754556544,16;53;,0,1
15171975780864,23;61;,0,1
15171975781312,21;56;,0,1
15171975781888,21;47;,0,1
15171975782208,23;40;,0,1
15175197006464,23;56;,0,1
15175197006784,16;58;,0,1
15175197007360,23;42;,0,1
15175197007488,16;47;,0,1
15177344489984,21;58;,0,1
15177344490112,16;61;,0,1
15177344491136,21;40;,0,1
15177344491328,16;42;,0,1
15178418231936,23;53;,1,0
15178418232256,21;50;,0,1
15178418232448,21;47;,0,1
15178418232640,23;42;,1,0
15180565715456,21;55;,0,1
15180565715904,16;53;,0,1
15180565716288,16;47;,0,1
15180565716416,21;40;,0,1
15183786940928,23;50;,0,1
15183786941056,16;55;,0,1
15183786941568,23;40;,0,1
15183786941888,16;42;,0,1
15118288687104,16;21;23;40;42;47;50;53;55;56;58;61;,0.333333,0.666667
15161238367552,23;57;,1,0
15161238367680,17;61;,1,0
15161238367808,23;53;,0,1
15161238368064,17;55;,0,1
15162312109056,23;61;,0,1
15162312109504,21;56;,0,1
15162312109568,21;55;,0,1
15162312109888,23;48;,0,1
15168754560000,21;57;,0,1
15168754560320,17;56;,1,0
15168754560512,17;53;,0,1
15168754560576,21;48;,0,1
15169828301376,23;61;,1,0
15169828301760,21;57;,0,1
15169828302400,21;47;,0,1
15169828302656,23;41;,1,0
15175197010432,23;57;,0,1
15175197010880,17;56;,1,0
15175197011456,17;47;,0,1
15175197011520,23;40;,0,1
15177344494080,17;61;,0,1
15177344494144,21;56;,0,1
15177344495104,21;41;,0,1
15177344495424,17;40;,0,1
15178418235968,21;55;,0,1
15178418236352,17;53;,1,0
15178418236736,17;47;,1,0
15178418236864,21;41;,0,1
15179491977728,23;53;,1,0
15179491978176,21;48;,0,1
15179491978240,21;47;,0,1
15179491978560,23;40;,1,0
15183786945024,17;55;,0,1
15183786945088,23;48;,0,1
15183786945536,23;41;,0,1
15183786945984,17;40;,1,0
15118288691200,17;21;23;40;41;47;48;53;55;56;57;61;,0.666667,0.333333
15162312121472,23;56;,0,1
15162312121792,16;58;,0,1
15162312121856,23;50;,0,1
15162312121984,16;55;,0,1
15163385863168,23;57;,0,1
15163385863616,17;56;,1,0
15163385863680,17;55;,0,1
15163385863744,23;48;,0,1
15168754572288,17;58;,0,1
15168754572416,16;57;,0,1
15168754572864,16;50;,0,1
15168754572928,17;48;,0,1
15169828313728,23;57;,0,1
15169828314048,17;58;,1,0
15169828314688,23;42;,0,1
15169828314752,17;47;,0,1
15171975797312,23;56;,0,1
15171975797696,16;57;,0,1
15171975798272,23;41;,0,1
15171975798336,16;47;,0,1
15177344506432,16;58;,0,1
15177344506496,17;56;,0,1
15177344507392,17;42;,0,1
15177344507520,16;41;,0,1
15178418248256,23;50;,0,1
15178418248320,17;55;,0,1
15178418248832,23;41;,0,1
15178418249152,17;42;,1,0
15179491990144,23;48;,0,1
15179491990464,16;50;,0,1
15179491990528,23;42;,0,1
15179491990656,16;47;,0,1
15180565731904,16;55;,0,1
15180565732288,17;48;,1,0
15180565732352,17;47;,0,1
15180565732800,16;41;,0,1
15118288703488,16;17;23;41;42;47;48;50;55;56;57;58;,0.333333,0.666667
15161238387840,21;57;,0,1
15161238388032,17;58;,1,0
15161238388288,21;50;,0,1
15161238388352,17;53;,0,1
15162312129536,21;58;,0,1
15162312129664,16;61;,0,1
15162312130176,21;48;,0,1
15162312130368,16;50;,0,1
15163385871360,17;61;,0,1
15163385871680,16;57;,1,0
15163385871936,16;53;,0,1
15163385872192,17;48;,1,0
15169828321856,21;58;,0,1
15169828321920,17;61;,0,1
15169828322944,21;41;,0,1
15169828323136,17;42;,1,0
15171975805440,21;57;,0,1
15171975805504,16;61;,0,1
15171975806528,21;40;,0,1
15171975806784,16;41;,0,1
15175197030912,17;58;,0,1
15175197031040,16;57;,0,1
15175197032000,16;42;,0,1
15175197032064,17;40;,0,1
15179491998208,21;50;,0,1
15179491998336,16;53;,0,1
15179491998848,21;40;,0,1
15179491999040,16;42;,1,0
15180565740032,17;53;,0,1
15180565740096,21;48;,0,1
15180565740544,21;41;,0,1
15180565740864,17;40;,1,0
15183786965568,16;50;,0,1
15183786965632,17;48;,0,1
15183786966016,17;42;,0,1
15183786966144,16;41;,0,1
15118288711680,16;17;21;40;41;42;48;50;53;57;58;61;,0.666667,0.333333
15153722199168,23;61;,0,1
15153722199488,21;58;,0,1
15153722199680,21;55;,0,1
15153722199872,23;50;,0,1
15154795941184,23;57;,0,1
15154795941312,17;61;,0,1
15154795941440,23;53;,0,1
15154795941696,17;55;,0,1
15160164650112,21;57;,0,1
15160164650304,17;58;,0,1
15160164650560,21;50;,0,1
15160164650624,17;53;,0,1
15171975810624,21;39;,0,1
15171975810880,23;33;,0,1
15175197036096,23;34;,0,1
15175197036160,17;39;,0,1
15177344519808,21;33;,0,1
15177344520000,17;34;,0,1
15179492002944,21;39;,0,1
15179492003136,23;34;,1,0
15180565744960,17;39;,0,1
15180565745088,21;33;,0,1
15183786970240,23;33;,0,1
15183786970560,17;34;,0,1
15118288715776,17;21;23;33;34;39;50;53;55;57;58;61;,0.333333,0.666667
15154795944960,23;61;,0,1
15154795945408,21;56;,0,1
15154795945472,21;55;,0,1
15154795945792,23;48;,0,1
15158017170560,23;56;,0,1
15158017170880,16;58;,0,1
15158017170944,23;50;,0,1
15158017171072,16;55;,0,1
15160164654080,21;58;,0,1
15160164654208,16;61;,0,1
15160164654720,21;48;,0,1
15160164654912,16;50;,0,1
15169828331136,21;39;,0,1
15169828331328,23;34;,1,0
15171975814656,23;37;,0,1
15171975814976,16;39;,0,1
15177344523776,21;34;,0,1
15177344523904,16;37;,0,1
15178418265216,23;37;,0,1
15178418265536,21;34;,0,1
15180565748736,21;39;,0,1
15180565749184,16;37;,0,1
15183786974208,23;34;,0,1
15183786974336,16;39;,0,1
15118288719872,16;21;23;34;37;39;48;50;55;56;58;61;,0.333333,0.666667
15153722207552,23;56;,0,1
15153722207680,16;61;,0,1
15153722207744,23;53;,0,1
15153722208064,16;55;,0,1
15158017174528,23;57;,0,1
15158017174976,17;56;,0,1
15158017175040,17;55;,0,1
15158017175104,23;48;,0,1
15160164658176,17;61;,0,1
15160164658496,16;57;,1,0
15160164658752,16;53;,0,1
15160164659008,17;48;,1,0
15169828335168,23;37;,0,1
15169828335424,17;39;,1,0
15175197044224,23;33;,0,1
15175197044288,16;39;,0,1
15177344527872,17;37;,0,1
15177344528192,16;33;,0,1
15178418269504,23;33;,1,0
15178418269632,17;37;,0,1
15179492011008,23;37;,0,1
15179492011328,16;39;,1,0
15183786978304,17;39;,0,1
15183786978752,16;33;,0,1
15118288723968,16;17;23;33;37;39;48;53;55;56;57;61;,0.666667,0.333333
15153722227840,21;56;,0,1
15153722228032,16;58;,1,0
15153722228224,21;50;,0,1
15153722228352,16;53;,0,1
15154795969536,21;57;,0,1
15154795969856,17;56;,1,0
15154795970048,17;53;,0,1
15154795970112,21;48;,0,1
15158017195008,17;58;,0,1
15158017195136,16;57;,0,1
15158017195584,16;50;,0,1
15158017195648,17;48;,0,1
15169828355648,21;34;,0,1
15169828355712,17;37;,0,1
15171975839232,21;33;,0,1
15171975839296,16;37;,0,1
15175197064704,17;34;,0,1
15175197064832,16;33;,0,1
15178418289792,21;33;,0,1
15178418289984,17;34;,1,0
15179492031488,21;34;,0,1
15179492031616,16;37;,0,1
15180565773312,17;37;,0,1
15180565773632,16;33;,1,0
15118288744448,16;17;21;33;34;37;48;50;53;56;57;58;,0.666667,0.333333
15154795974208,21;47;,0,1
15154795974464,23;41;,0,1
15158017199680,23;42;,0,1
15158017199744,17;47;,0,1
15160164683392,21;41;,0,1
15160164683584,17;42;,0,1
15162312167040,21;39;,0,1
15162312167232,23;34;,0,1
15163385908800,23;37;,0,1
15163385909056,17;39;,0,1
15168754617920,21;34;,0,1
15168754617984,17;37;,0,1
15118288748544,17;21;23;34;37;39;41;42;47;57;58;61;,0,1
15153722240512,21;47;,0,1
15153722240832,23;40;,0,1
15158017207808,23;41;,0,1
15158017207872,16;47;,0,1
15160164691520,21;40;,0,1
15160164691776,16;41;,0,1
15161238433344,21;39;,0,1
15161238433600,23;33;,0,1
15162312175104,23;37;,0,1
15162312175424,16;39;,0,1
15168754626048,21;33;,0,1
15168754626112,16;37;,0,1
15118288756736,16;21;23;33;37;39;40;41;47;56;57;61;,0,1
15153722252800,23;42;,0,1
15153722252928,16;47;,0,1
15154795994624,17;47;,0,1
15154795994688,23;40;,0,1
15160164703808,16;42;,0,1
15160164703872,17;40;,0,1
15161238445632,23;34;,0,1
15161238445696,17;39;,0,1
15163385929216,23;33;,0,1
15163385929280,16;39;,0,1
15168754638336,17;34;,0,1
15168754638464,16;33;,0,1
15118288769024,16;17;23;33;34;39;40;42;47;56;57;58;,1,0
15153722261120,21;40;,0,1
15153722261312,16;42;,0,1
15154796002816,21;41;,0,1
15154796003136,17;40;,1,0
15158017228288,17;42;,0,1
15158017228416,16;41;,0,1
15161238453888,21;33;,0,1
15161238454080,17;34;,1,0
15162312195584,21;34;,0,1
15162312195712,16;37;,0,1
15163385937408,17;37;,0,1
15163385937728,16;33;,0,1
15118288777216,16;17;21;33;34;37;40;41;42;56;58;61;,0.5,0.5
15118288781312,17;21;23;33;34;37;41;42;47;50;53;55;,0,1
15118288785408,16;21;23;34;37;39;40;42;47;48;50;53;,0,1
15118288789504,16;17;21;33;37;39;40;41;47;48;53;55;,0,1
15118288801792,16;17;23;33;34;39;40;41;42;48;50;55;,0.833333,0.166667
15223364324154,,0,0
15223414655799,,1,0
15222441577216,55;58;,1,0
15223280438268,,0,1
15223448210418,,0,0
15222441577408,50;60;,0,1
15223230106812,,0,0
15222441577600,47;60;,0,1
15223179775482,,0,0
15222441577920,44;58;,1,0
15222441578112,44;55;,0,1
15222441578240,47;50;,0,1
