GameState,PossibleArrows,WinProb,TieProb
50622432114366,,1,0
50622599886516,,1,0
50621559699072,52;62;,1,0
50622398560188,,0,0
50622566332338,,0,0
50621559699328,50;60;,0,1
50621559700608,30;60;,0,1
50621559700736,26;62;,1,0
50621559701248,30;50;,0,1
50621559701376,26;52;,1,0
50623455524670,,1,0
50623673628465,,0,0
50622633441024,49;62;,1,0
50623505856441,,0,0
50623589742516,,0,1
50622633441152,52;57;,0,1
50622633442368,28;62;,0,1
50622633442560,30;57;,0,1
50622633442880,30;52;,0,1
50622633443200,28;49;,1,0
50627750491836,,0,0
50627935041201,,0,0
50626928408192,49;60;,0,1
50627767269177,,0,0
50627884709682,,0,0
50626928408320,50;57;,0,1
50626928409664,26;60;,0,1
50626928409728,28;57;,0,1
50626928410176,28;50;,0,1
50626928410368,26;49;,0,1
50631156266670,,1,0
50630149633664,46;60;,1,0
50631189821226,,0,0
50630149633792,42;62;,1,0
50630149634688,28;62;,0,1
50630149634944,26;60;,1,0
50630149635840,26;46;,0,1
50630149635968,28;42;,1,0
50632179676974,,0,1
50631223375616,46;57;,0,1
50632230008745,,0,0
50631223375744,41;60;,0,1
50631223376448,30;60;,0,1
50631223376768,28;57;,0,1
50631223377472,28;46;,0,1
50631223377664,30;41;,0,1
50634411046569,,0,0
50633370859136,41;62;,1,0
50634327160746,,0,0
50633370859392,42;57;,0,1
50633370860096,26;62;,0,1
50633370860160,30;57;,0,1
50633370861120,30;42;,0,1
50633370861440,26;41;,1,0
50638739568384,46;50;,0,1
50638739568512,42;52;,0,1
50638739569280,30;52;,0,1
50638739569536,28;50;,0,1
50638739569792,28;46;,0,1
50638739569920,30;42;,0,1
50641960793728,46;49;,1,0
50641960793984,41;50;,0,1
50641960794688,30;50;,0,1
50641960795008,26;49;,1,0
50641960795200,26;46;,0,1
50641960795264,30;41;,0,1
50644108277376,41;52;,1,0
50644108277504,42;49;,0,1
50644108278336,26;52;,0,1
50644108278400,28;49;,0,1
50644108278848,28;42;,0,1
50644108279040,26;41;,1,0
50577536282624,26;28;30;41;42;46;49;50;52;57;60;62;,0.666667,0.333333
50621559713024,23;62;,1,0
50621559713216,22;60;,1,0
50621559713536,22;55;,1,0
50621559713664,23;52;,1,0
50626928421952,23;60;,0,1
50626928422336,20;57;,0,1
50626928422464,20;55;,0,1
50626928422656,23;49;,0,1
50628002163776,20;62;,0,1
50628002163968,22;57;,1,0
50628002164288,22;52;,0,1
50628002164608,20;49;,1,0
50630149647232,23;60;,1,0
50630149647296,20;62;,1,0
50630149648128,23;46;,1,0
50630149648256,20;47;,1,0
50633370872384,23;62;,1,0
50633370872768,22;57;,1,0
50633370873408,22;47;,0,1
50633370873728,23;41;,1,0
50636592097856,22;60;,0,1
50636592098176,20;57;,0,1
50636592098880,20;46;,0,1
50636592099072,22;41;,0,1
50638739581824,20;55;,1,0
50638739581888,22;52;,1,0
50638739582208,22;47;,1,0
50638739582400,20;46;,1,0
50641960806976,22;55;,1,0
50641960807296,23;49;,1,0
50641960807488,23;46;,1,0
50641960807872,22;41;,1,0
50644108290624,23;52;,1,0
50644108291008,20;49;,1,0
50644108291136,20;47;,0,1
50644108291328,23;41;,1,0
50577536294912,20;22;23;41;46;47;49;52;55;57;60;62;,1,0
50622633462848,23;62;,1,0
50622633463232,22;57;,0,1
50622633463360,22;55;,0,1
50622633463680,23;49;,1,0
50626928430208,23;57;,0,1
50626928430528,17;58;,0,1
50626928430656,23;50;,0,1
50626928430720,17;55;,0,1
50628002171968,22;58;,0,1
50628002172032,17;62;,0,1
50628002172544,22;49;,0,1
50628002172800,17;50;,1,0
50630149655168,23;62;,1,0
50630149655488,22;58;,0,1
50630149656192,22;47;,0,1
50630149656448,23;42;,1,0
50631223397248,23;57;,0,1
50631223397312,17;62;,1,0
50631223397952,23;46;,0,1
50631223398272,17;47;,1,0
50636592106112,22;57;,0,1
50636592106368,17;58;,0,1
50636592107072,22;42;,0,1
50636592107136,17;46;,0,1
50638739589760,22;55;,1,0
50638739590016,23;50;,1,0
50638739590272,23;46;,1,0
50638739590592,22;42;,1,0
50639813331840,17;55;,0,1
50639813331904,22;49;,0,1
50639813332032,22;47;,0,1
50639813332416,17;46;,0,1
50644108298880,23;49;,0,1
50644108299200,17;50;,1,0
50644108299328,23;42;,0,1
50644108299392,17;47;,0,1
50577536303104,17;22;23;42;46;47;49;50;55;57;58;62;,0.833333,0.166667
50621559729280,23;60;,0,1
50621559729600,20;58;,0,1
50621559729792,20;55;,0,1
50621559729920,23;50;,0,1
50622633471232,23;57;,0,1
50622633471424,17;60;,1,0
50622633471552,23;52;,0,1
50622633471744,17;55;,0,1
50628002180224,20;57;,0,1
50628002180352,17;58;,1,0
50628002180672,20;50;,0,1
50628002180736,17;52;,0,1
50631223405120,23;60;,0,1
50631223405504,20;57;,0,1
50631223406144,20;47;,0,1
50631223406336,23;41;,0,1
50633370888832,23;57;,0,1
50633370889152,17;58;,1,0
50633370889792,23;42;,0,1
50633370889856,17;47;,0,1
50636592114240,20;58;,0,1
50636592114304,17;60;,0,1
50636592115328,20;41;,0,1
