GameState,PossibleArrows,WinProb,TieProb
0708260020510000,33;37;41;46;61;62;,1,0
0708293820515800,41;,0,0
0708294120515800,38;,1,0
0708290020515800,38;41;,0.5,0.5
0708293320516200,42;,1,0
0708294220516200,33;,1,0
0708290020516200,33;42;,0,1
0708290020510000,33;38;41;42;58;62;,1,0
0708334620516100,26;,1,0
0708330020516100,26;46;,0,1
0708334220516200,29;,1,0
0708330020516200,29;42;,0,1
0708330020510000,26;29;42;46;61;62;,1,0
0708374620515800,25;,0,0
0708370020515800,25;46;,0.5,0.5
0708374120516200,26;,1,0
0708370020516200,26;41;,0,1
0708370020510000,25;26;41;46;58;62;,0.833333,0.166667
0708384120515800,29;,1,0
0708380020515800,29;41;,0.5,0.5
0708384220516100,25;,1,0
0708380020516100,25;42;,0,1
0708380020510000,25;29;41;42;58;61;,1,0
0708410020515800,29;38;,0,1
0708410020516200,26;37;,0,1
0708410020510000,26;29;37;38;58;62;,1,0
0708420020516100,25;38;,0,1
0708420020516200,29;33;,0,1
0708420020510000,25;29;33;38;61;62;,1,0
0708460020515800,25;37;,0.5,0.5
0708460020516100,26;33;,0,1
0708460020510000,25;26;33;37;58;61;,0.833333,0.166667
0708580020510000,25;29;37;38;41;46;,1,0
0708610020510000,25;26;33;38;42;46;,1,0
0708620020510000,26;29;33;37;41;42;,1,0
0708000020510000,25;26;29;33;37;38;41;42;46;58;61;62;,0.166667,0.833333
0708253820535800,43;,1,0
0708254320535800,38;,1,0
0708250020535800,38;43;,0,1
0708253520536200,42;,1,0
0708254220536200,35;,1,0
0708250020536200,35;42;,0,1
0708250020530000,35;38;42;43;58;62;,1,0
0708263820535900,41;,1,0
0708264120535900,38;,1,0
0708260020535900,38;41;,0,1
0708263320536200,43;,1,0
0708264320536200,33;,1,0
0708260020536200,33;43;,0,1
0708260020530000,33;38;41;43;59;62;,1,0
0708303520535800,41;,1,0
0708304120535800,35;,1,0
0708300020535800,35;41;,0,1
0708303320535900,42;,1,0
0708304220535900,33;,1,0
0708300020535900,33;42;,0,1
