GameState,PossibleArrows,WinProb,TieProb
0821430039496200,2;28;,0,1
0821430039490000,2;4;28;30;58;62;,1,0
0821440039495900,2;30;,0,1
0821440039496200,3;26;,1,0
0821440039490000,2;3;26;30;59;62;,1,0
0821460039495800,3;28;,0,1
0821460039495900,4;26;,0,1
0821460039490000,3;4;26;28;58;59;,1,0
0821580039490000,3;4;28;30;43;46;,1,0
0821590039490000,2;4;26;30;44;46;,1,0
0821620039490000,2;3;26;28;43;44;,1,0
0821000039490000,2;3;4;26;28;30;43;44;46;58;59;62;,0.5,0.5
0821254439505900,6;,1,0
0821250039505900,6;44;,1,0
0821254339506200,4;,0,1
0821250039506200,4;43;,1,0
0821250039500000,4;6;43;44;59;62;,0.5,0.5
0821284339505700,6;,1,0
0821280039505700,6;43;,0,1
0821284139506200,3;,1,0
0821280039506200,3;41;,0,1
0821280039500000,3;6;41;43;57;62;,1,0
0821304439505700,3;,1,0
0821300039505700,3;44;,0,1
0821304139505900,4;,1,0
0821300039505900,4;41;,0,1
0821300039500000,3;4;41;44;57;59;,1,0
0821410039505900,4;30;,0,1
0821410039506200,3;28;,1,0
0821410039500000,3;4;28;30;59;62;,1,0
0821430039505700,6;28;,0,1
0821430039506200,4;25;,1,0
0821430039500000,4;6;25;28;57;62;,1,0
0821440039505700,3;30;,0,1
0821440039505900,6;25;,1,0
0821440039500000,3;6;25;30;57;59;,1,0
0821570039500000,3;6;28;30;43;44;,1,0
0821590039500000,4;6;25;30;41;44;,1,0
0821620039500000,3;4;25;28;41;43;,1,0
0821000039500000,3;4;6;25;28;30;41;43;44;57;59;62;,0.833333,0.166667
0821254639515800,4;,1,0
0821250039515800,4;46;,0,1
0821254439516200,2;,0,1
0821250039516200,2;44;,1,0
0821250039510000,2;4;44;46;58;62;,1,0
0821264439515700,6;,1,0
0821260039515700,6;44;,1,0
0821264139516200,4;,0,1
0821260039516200,4;41;,1,0
0821260039510000,4;6;41;44;57;62;,0.5,0.5
0821284639515700,2;,1,0
