GameState,PossibleArrows,WinProb,TieProb
1538530028400000,1;2;17;19;58;59;,1,0
1538580028404900,3;21;,0,1
1538580028405300,1;19;,1,0
1538580028400000,1;3;19;21;49;53;,1,0
1538590028405000,1;21;,0,1
1538590028405300,2;17;,1,0
1538590028400000,1;2;17;21;50;53;,0.5,0.5
1538610028404900,2;19;,0,1
1538610028405000,3;17;,1,0
1538610028400000,2;3;17;19;49;50;,1,0
1538000028400000,1;2;3;17;19;21;49;50;53;58;59;61;,0.833333,0.166667
1538480028415800,5;19;,1,0
1538480028415900,2;21;,1,0
1538480028410000,2;5;19;21;58;59;,0.5,0.5
1538500028415600,3;21;,0,1
1538500028415900,5;16;,1,0
1538500028410000,3;5;16;21;56;59;,1,0
1538530028415600,2;19;,0,1
1538530028415800,3;16;,0,1
1538530028410000,2;3;16;19;56;58;,1,0
1538560028415000,3;21;,1,0
1538560028415300,2;19;,1,0
1538560028410000,2;3;19;21;50;53;,0,1
1538580028414800,5;19;,1,0
1538580028415300,3;16;,1,0
1538580028410000,3;5;16;19;48;53;,0.5,0.5
1538590028414800,2;21;,0,1
1538590028415000,5;16;,1,0
1538590028410000,2;5;16;21;48;50;,1,0
1538000028410000,2;3;5;16;19;21;48;50;53;56;58;59;,1,0
1538480028425900,5;17;,1,0
1538480028426100,1;19;,1,0
1538480028420000,1;5;17;19;59;61;,0,1
1538490028425600,5;19;,1,0
1538490028426100,3;16;,1,0
1538490028420000,3;5;16;19;56;61;,0.5,0.5
1538530028425600,3;17;,0,1
1538530028425900,1;16;,1,0
1538530028420000,1;3;16;17;56;59;,0.5,0.5
1538560028424900,5;19;,1,0
1538560028425300,3;17;,1,0
1538560028420000,3;5;17;19;49;53;,0.5,0.5
1538590028424800,5;17;,1,0
1538590028425300,1;16;,1,0
1538590028420000,1;5;16;17;48;53;,0.5,0.5
1538610028424800,1;19;,0,1
1538610028424900,3;16;,1,0
1538610028420000,1;3;16;19;48;49;,1,0
1538000028420000,1;3;5;16;17;19;48;49;53;56;59;61;,1,0
1538480028435800,1;21;,1,0
1538480028436100,2;17;,1,0
1538480028430000,1;2;17;21;58;61;,0,1
1538490028435600,2;21;,0,1
1538490028435800,5;16;,1,0
1538490028430000,2;5;16;21;56;58;,0.5,0.5
1538500028435600,5;17;,1,0
1538500028436100,1;16;,1,0
1538500028430000,1;5;16;17;56;61;,0.5,0.5
1538560028434900,2;21;,1,0
1538560028435000,5;17;,1,0
1538560028430000,2;5;17;21;49;50;,0,1
1538580028434800,1;21;,1,0
1538580028434900,5;16;,1,0
1538580028430000,1;5;16;21;48;49;,0.5,0.5
1538610028434800,2;17;,1,0
1538610028435000,1;16;,1,0
1538610028430000,1;2;16;17;48;50;,0,1
1538000028430000,1;2;5;16;17;21;48;49;50;56;58;61;,1,0
1538410028485800,5;19;,0,1
1538410028485900,2;21;,0,1
1538410028480000,2;5;19;21;58;59;,1,0
1538420028485900,5;17;,1,0
1538420028486100,1;19;,0,1
1538420028480000,1;5;17;19;59;61;,1,0
1538430028485800,1;21;,0,1
1538430028486100,2;17;,1,0
1538430028480000,1;2;17;21;58;61;,1,0
1538580028480000,1;5;19;21;41;43;,0.5,0.5
1538590028480000,2;5;17;21;41;42;,1,0
1538610028480000,1;2;17;19;42;43;,1,0
1538000028480000,1;2;5;17;19;21;41;42;43;58;59;61;,0.833333,0.166667
1538400028495800,3;21;,0,1
1538400028496100,2;19;,1,0
1538400028490000,2;3;19;21;58;61;,1,0
1538420028495600,5;19;,0,1
1538420028496100,3;16;,1,0
1538420028490000,3;5;16;19;56;61;,1,0
1538430028495600,2;21;,0,1
1538430028495800,5;16;,1,0
1538430028490000,2;5;16;21;56;58;,1,0
1538560028490000,2;5;19;21;42;43;,0.5,0.5
1538580028490000,3;5;16;21;40;43;,1,0
1538610028490000,2;3;16;19;40;42;,1,0
1538000028490000,2;3;5;16;19;21;40;42;43;56;58;61;,1,0
1538400028505900,1;21;,1,0
1538400028506100,3;17;,1,0
1538400028500000,1;3;17;21;59;61;,0.5,0.5
1538410028505600,3;21;,0,1
1538410028505900,5;16;,1,0
1538410028500000,3;5;16;21;56;59;,1,0
1538430028505600,5;17;,1,0
1538430028506100,1;16;,1,0
1538430028500000,1;5;16;17;56;61;,0.5,0.5
1538560028500000,3;5;17;21;41;43;,0,1
1538590028500000,1;5;16;21;40;41;,0.5,0.5
1538610028500000,1;3;16;17;40;43;,0.5,0.5
1538000028500000,1;3;5;16;17;21;40;41;43;56;59;61;,1,0
1538400028535800,1;19;,1,0
1538400028535900,2;17;,1,0
1538400028530000,1;2;17;19;58;59;,0,1
1538410028535600,2;19;,0,1
1538410028535800,3;16;,1,0
1538410028530000,2;3;16;19;56;58;,0.5,0.5
1538420028535600,3;17;,1,0
1538420028535900,1;16;,1,0
1538420028530000,1;3;16;17;56;59;,0,1
1538560028530000,2;3;17;19;41;42;,0,1
1538580028530000,1;3;16;19;40;41;,0,1
1538590028530000,1;2;16;17;40;42;,0,1
1538000028530000,1;2;3;16;17;19;40;41;42;56;58;59;,1,0
1538410028560000,2;3;19;21;50;53;,1,0
1538420028560000,3;5;17;19;49;53;,1,0
1538430028560000,2;5;17;21;49;50;,1,0
1538490028560000,2;5;19;21;42;43;,1,0
1538500028560000,3;5;17;21;41;43;,1,0
1538530028560000,2;3;17;19;41;42;,1,0
1538000028560000,2;3;5;17;19;21;41;42;43;49;50;53;,0.833333,0.166667
1538400028580000,1;3;19;21;49;53;,1,0
1538410028580000,3;5;16;19;48;53;,0.5,0.5
1538430028580000,1;5;16;21;48;49;,1,0
1538480028580000,1;5;19;21;41;43;,0.5,0.5
1538490028580000,3;5;16;21;40;43;,1,0
1538530028580000,1;3;16;19;40;41;,1,0
1538000028580000,1;3;5;16;19;21;40;41;43;48;49;53;,1,0
1538400028590000,1;2;17;21;50;53;,0.5,0.5
1538410028590000,2;5;16;21;48;50;,1,0
1538420028590000,1;5;16;17;48;53;,0.5,0.5
1538480028590000,2;5;17;21;41;42;,0,1
1538500028590000,1;5;16;21;40;41;,0.5,0.5
1538530028590000,1;2;16;17;40;42;,0.5,0.5
1538000028590000,1;2;5;16;17;21;40;41;42;48;50;53;,1,0
