GameState,PossibleArrows,WinProb,TieProb
0116370014435500,26;60;,1,0
0116375214435800,31;,0,0
0116370014435800,31;52;,1,0
0116375514436000,26;,0,0
0116370014436000,26;55;,1,0
0116370014430000,26;31;52;55;58;60;,0,1
0116396114435200,26;,1,0
0116390014435200,26;61;,0,1
0116395814435300,28;,1,0
0116390014435300,28;58;,0.5,0.5
0116395314435800,28;,0,0
0116390014435800,28;53;,1,0
0116395214436100,26;,1,0
0116390014436100,26;52;,0,1
0116390014430000,26;28;52;53;58;61;,0.833333,0.166667
0116520014435800,31;37;,1,0
0116520014436100,26;39;,0.5,0.5
0116520014430000,26;31;37;39;58;61;,0.333333,0.666667
0116530014435800,28;39;,1,0
0116530014436000,31;34;,0.5,0.5
0116530014430000,28;31;34;39;58;60;,0,1
0116550014436000,26;37;,1,0
0116550014436100,28;34;,1,0
0116550014430000,26;28;34;37;60;61;,0,1
0116580014435200,31;37;,0.5,0.5
0116580014435300,28;39;,0.5,0.5
0116580014430000,28;31;37;39;52;53;,0.666667,0.333333
0116600014435300,31;34;,0,1
0116600014435500,26;37;,1,0
0116600014430000,26;31;34;37;53;55;,0.333333,0.666667
0116610014435200,26;39;,0.5,0.5
0116610014435500,28;34;,1,0
0116610014430000,26;28;34;39;52;55;,0.333333,0.666667
0116000014430000,26;28;31;34;37;39;52;53;55;58;60;61;,1,0
0116263914445359,,0,1
0116263914445300,59;,0,1
0116265914445300,39;,1,0
0116260014445300,39;59;,0,1
0116263514445561,,0,1
0116263514445500,61;,0,1
0116266114445500,35;,1,0
0116260014445500,35;61;,0,1
0116263914445900,53;,0,1
0116265314445900,39;,0,0
0116260014445900,39;53;,0.5,0.5
0116263514446100,55;,0,1
0116265514446100,35;,0,1
0116260014446100,35;55;,0,1
0116260014440000,35;39;53;55;59;61;,0.666667,0.333333
0116293914445158,,1,0
0116293914445100,58;,0,0
0116295814445100,39;,0,0
0116290014445100,39;58;,1,0
0116293414445559,,1,0
0116293414445500,59;,0,0
0116295914445500,34;,0,1
0116290014445500,34;59;,0.5,0.5
0116293914445800,51;,0,0
0116295114445800,39;,0,0
0116290014445800,39;51;,1,0
0116293414445900,55;,0,0
0116295514445900,34;,0,0
0116290014445900,34;55;,1,0
0116290014440000,34;39;51;55;58;59;,0,1
0116313414445161,,0,0
0116313414445100,61;,1,0
0116316114445100,34;,1,0
0116310014445100,34;61;,0,1
0116313514445358,,0,1
0116313514445300,58;,0,1
0116315814445300,35;,1,0
0116310014445300,35;58;,0,1
0116313514445800,53;,0,1
0116315314445800,35;,0,1
0116310014445800,35;53;,0,1
0116313414446100,51;,1,0
0116315114446100,34;,1,0
0116310014446100,34;51;,0,1
0116310014440000,34;35;51;53;58;61;,0.833333,0.166667
0116346114445100,31;,0,0
0116340014445100,31;61;,0.5,0.5
0116345914445500,29;,0,1
0116340014445500,29;59;,0.5,0.5
0116345514445900,29;,0,0
0116340014445900,29;55;,1,0
0116345114446100,31;,0,1
0116340014446100,31;51;,0,1
0116340014440000,29;31;51;55;59;61;,0.333333,0.666667
0116355814445300,31;,1,0
0116350014445300,31;58;,0,1
0116356114445500,26;,1,0
0116350014445500,26;61;,0,1
0116355314445800,31;,0,0
0116350014445800,31;53;,0.5,0.5
0116355514446100,26;,0,1
0116350014446100,26;55;,0,1
0116350014440000,26;31;53;55;58;61;,0.666667,0.333333
0116395814445100,29;,0,1
0116390014445100,29;58;,0.5,0.5
0116395914445300,26;,1,0
0116390014445300,26;59;,0,1
0116395114445800,29;,0,0
0116390014445800,29;51;,1,0
0116395314445900,26;,0,1
0116390014445900,26;53;,0,1
0116390014440000,26;29;51;53;58;59;,0.333333,0.666667
0116510014445800,29;39;,1,0
0116510014446100,31;34;,0,1
0116510014440000,29;31;34;39;58;61;,0.333333,0.666667
0116530014445800,31;35;,0.5,0.5
0116530014445900,26;39;,0.5,0.5
0116530014440000,26;31;35;39;58;59;,0.666667,0.333333
0116550014445900,29;34;,1,0
0116550014446100,26;35;,0,1
0116550014440000,26;29;34;35;59;61;,0.333333,0.666667
0116580014445100,29;39;,0.5,0.5
0116580014445300,31;35;,0,1
0116580014440000,29;31;35;39;51;53;,0.5,0.5
0116590014445300,26;39;,0,1
0116590014445500,29;34;,0,1
0116590014440000,26;29;34;39;53;55;,0.5,0.5
0116610014445100,31;34;,0.5,0.5
0116610014445500,26;35;,0,1
0116610014440000,26;31;34;35;51;55;,0.833333,0.166667
0116000014440000,26;29;31;34;35;39;51;53;55;58;59;61;,0.666667,0.333333
0116263714475259,,1,0
0116263714475200,59;,0,0
0116265914475200,37;,0,0
0116260014475200,37;59;,1,0
0116263514475360,,1,0
0116263514475300,60;,0,0
0116266014475300,35;,1,0
0116260014475300,35;60;,0.5,0.5
0116263714475900,52;,0,0
0116265214475900,37;,0,0
0116260014475900,37;52;,1,0
0116263514476000,53;,0,0
0116265314476000,35;,0,0
0116260014476000,35;53;,1,0
0116260014470000,35;37;52;53;59;60;,0.333333,0.666667
0116283714475158,,1,0
0116283714475100,58;,0,0
0116285814475100,37;,0,0
0116280014475100,37;58;,1,0
0116283414475359,,1,0
0116283414475300,59;,0,0
0116285914475300,34;,0,0
0116280014475300,34;59;,1,0
0116283714475800,51;,0,0
0116285114475800,37;,0,0
0116280014475800,37;51;,1,0
0116283414475900,53;,0,0
0116285314475900,34;,0,0
0116280014475900,34;53;,1,0
0116280014470000,34;37;51;53;58;59;,0,1
0116293414475160,,1,0
0116293414475100,60;,0,0
0116296014475100,34;,0,0
0116290014475100,34;60;,1,0
0116293514475258,,1,0
0116293514475200,58;,0,0
0116295814475200,35;,0,1
0116290014475200,35;58;,0.5,0.5
0116293514475800,52;,0,0
0116295214475800,35;,0,0
0116290014475800,35;52;,1,0
0116293414476000,51;,0,0
0116295114476000,34;,0,0
0116290014476000,34;51;,1,0
0116290014470000,34;35;51;52;58;60;,0,1
0116346014475100,29;,0,0
0116340014475100,29;60;,1,0
0116345914475300,28;,0,1
0116340014475300,28;59;,0.5,0.5
0116345314475900,28;,0,0
0116340014475900,28;53;,1,0
0116345114476000,29;,0,0
0116340014476000,29;51;,1,0
0116340014470000,28;29;51;53;59;60;,0,1
0116355814475200,29;,0,0
0116350014475200,29;58;,1,0
0116356014475300,26;,1,0
0116350014475300,26;60;,0.5,0.5
0116355214475800,29;,0,0
0116350014475800,29;52;,1,0
0116355314476000,26;,0,0
0116350014476000,26;53;,1,0
0116350014470000,26;29;52;53;58;60;,0.333333,0.666667
0116375814475100,28;,0,0
0116370014475100,28;58;,1,0
0116375914475200,26;,0,0
0116370014475200,26;59;,1,0
0116375114475800,28;,0,0
0116370014475800,28;51;,1,0
0116375214475900,26;,0,0
0116370014475900,26;52;,1,0
0116370014470000,26;28;51;52;58;59;,0,1
0116510014475800,28;37;,1,0
0116510014476000,29;34;,1,0
0116510014470000,28;29;34;37;58;60;,0,1
0116520014475800,29;35;,1,0
0116520014475900,26;37;,1,0
0116520014470000,26;29;35;37;58;59;,0,1
0116530014475900,28;34;,1,0
0116530014476000,26;35;,1,0
0116530014470000,26;28;34;35;59;60;,0.333333,0.666667
0116580014475100,28;37;,1,0
0116580014475200,29;35;,0.5,0.5
0116580014470000,28;29;35;37;51;52;,0,1
0116590014475200,26;37;,1,0
0116590014475300,28;34;,0.5,0.5
0116590014470000,26;28;34;37;52;53;,0,1
0116600014475100,29;34;,1,0
0116600014475300,26;35;,0,1
0116600014470000,26;29;34;35;51;53;,0.5,0.5
0116000014470000,26;28;29;34;35;37;51;52;53;58;59;60;,1,0
0116283714515800,47;,0,0
0116284714515800,37;,0,0
0116280014515800,37;47;,1,0
0116283914516100,42;,0,0
0116284214516100,39;,0,0
0116280014516100,39;42;,1,0
0116280014510000,37;39;42;47;58;61;,0,1
0116293914515800,44;,0,0
0116294414515800,39;,0,0
0116290014515800,39;44;,1,0
0116293414516000,47;,0,0
0116294714516000,34;,0,0
0116290014516000,34;47;,1,0
0116290014510000,34;39;44;47;58;60;,0,1
0116313714516000,42;,0,0
0116314214516000,37;,0,0
0116310014516000,37;42;,1,0
0116313414516100,44;,1,0
0116314414516100,34;,0,1
0116310014516100,34;44;,0,1
0116310014510000,34;37;42;44;60;61;,0.5,0.5
0116344714516000,29;,0,0
0116340014516000,29;47;,1,0
0116344414516100,31;,0,0
0116340014516100,31;44;,0.5,0.5
0116340014510000,29;31;44;47;60;61;,0.333333,0.666667
0116374714515800,28;,0,0
0116370014515800,28;47;,1,0
0116374214516000,31;,0,0
0116370014516000,31;42;,1,0
0116370014510000,28;31;42;47;58;60;,0,1
0116394414515800,29;,0,0
0116390014515800,29;44;,1,0
0116394214516100,28;,0,0
0116390014516100,28;42;,1,0
0116390014510000,28;29;42;44;58;61;,0,1
0116420014516000,31;37;,1,0
0116420014516100,28;39;,1,0
0116420014510000,28;31;37;39;60;61;,0,1
0116440014515800,29;39;,1,0
0116440014516100,31;34;,0.5,0.5
0116440014510000,29;31;34;39;58;61;,0,1
0116470014515800,28;37;,1,0
0116470014516000,29;34;,1,0
0116470014510000,28;29;34;37;58;60;,0,1
0116580014510000,28;29;37;39;44;47;,0,1
0116600014510000,29;31;34;37;42;47;,0,1
0116610014510000,28;31;34;39;42;44;,0.333333,0.666667
0116000014510000,28;29;31;34;37;39;42;44;47;58;60;61;,1,0
0116263714525900,47;,0,0
0116264714525900,37;,0,0
0116260014525900,37;47;,1,0
0116263914526100,43;,0,1
0116264314526100,39;,0,0
0116260014526100,39;43;,0.5,0.5
0116260014520000,37;39;43;47;59;61;,0,1
0116293514525800,47;,0,0
0116294714525800,35;,0,0
0116290014525800,35;47;,1,0
0116293914525900,42;,0,0
0116294214525900,39;,0,0
0116290014525900,39;42;,1,0
0116290014520000,35;39;42;47;58;59;,0,1
0116313714525800,43;,0,0
0116314314525800,37;,0,0
0116310014525800,37;43;,1,0
0116313514526100,42;,0,1
0116314214526100,35;,1,0
0116310014526100,35;42;,0,1
0116310014520000,35;37;42;43;58;61;,0.833333,0.166667
0116354714525800,29;,0,0
0116350014525800,29;47;,1,0
0116354214526100,31;,0,0
0116350014526100,31;42;,0.5,0.5
0116350014520000,29;31;42;47;58;61;,0,1
0116374314525800,31;,0,0
0116370014525800,31;43;,1,0
0116374714525900,26;,0,0
0116370014525900,26;47;,1,0
0116370014520000,26;31;43;47;58;59;,0,1
0116394214525900,29;,0,0
0116390014525900,29;42;,1,0
0116394314526100,26;,1,0
0116390014526100,26;43;,0,1
0116390014520000,26;29;42;43;59;61;,0.5,0.5
0116420014525900,29;39;,1,0
0116420014526100,31;35;,0.5,0.5
0116420014520000,29;31;35;39;59;61;,0.333333,0.666667
0116430014525800,31;37;,1,0
0116430014526100,26;39;,0.5,0.5
0116430014520000,26;31;37;39;58;61;,0.333333,0.666667
0116470014525800,29;35;,1,0
0116470014525900,26;37;,1,0
0116470014520000,26;29;35;37;58;59;,0,1
0116580014520000,29;31;35;37;43;47;,0.333333,0.666667
0116590014520000,26;29;37;39;42;47;,0,1
0116610014520000,26;31;35;39;42;43;,0.666667,0.333333
0116000014520000,26;29;31;35;37;39;42;43;47;58;59;61;,0.958333,0.0416667
0116263914535900,44;,0,1
0116264414535900,39;,0,0
0116260014535900,39;44;,0.5,0.5
0116263514536000,47;,0,0
0116264714536000,35;,0,1
0116260014536000,35;47;,0.5,0.5
0116260014530000,35;39;44;47;59;60;,0.666667,0.333333
0116283914535800,43;,0,0
0116284314535800,39;,0,0
0116280014535800,39;43;,1,0
0116283414535900,47;,0,0
0116284714535900,34;,0,0
0116280014535900,34;47;,1,0
0116280014530000,34;39;43;47;58;59;,0,1
0116313514535800,44;,0,1
0116314414535800,35;,0,1
0116310014535800,35;44;,0,1
0116313414536000,43;,1,0
0116314314536000,34;,1,0
0116310014536000,34;43;,0,1
0116310014530000,34;35;43;44;58;60;,0.833333,0.166667
0116344714535900,28;,0,0
0116340014535900,28;47;,1,0
0116344314536000,31;,0,0
0116340014536000,31;43;,0.5,0.5
0116340014530000,28;31;43;47;59;60;,0.333333,0.666667
0116354414535800,31;,0,0
0116350014535800,31;44;,0.5,0.5
0116354714536000,26;,0,1
0116350014536000,26;47;,0.5,0.5
0116350014530000,26;31;44;47;58;60;,0.666667,0.333333
0116394314535800,28;,0,0
0116390014535800,28;43;,1,0
0116394414535900,26;,0,1
0116390014535900,26;44;,0,1
0116390014530000,26;28;43;44;58;59;,0.666667,0.333333
0116430014535800,28;39;,1,0
0116430014536000,31;34;,0.5,0.5
0116430014530000,28;31;34;39;58;60;,0.333333,0.666667
0116440014535800,31;35;,0.5,0.5
0116440014535900,26;39;,0.5,0.5
0116440014530000,26;31;35;39;58;59;,0.666667,0.333333
0116470014535900,28;34;,1,0
0116470014536000,26;35;,0,1
0116470014530000,26;28;34;35;59;60;,0.333333,0.666667
0116580014530000,28;31;35;39;43;44;,0.833333,0.166667
0116590014530000,26;28;34;39;44;47;,0.5,0.5
0116600014530000,26;31;34;35;43;47;,0.833333,0.166667
0116000014530000,26;28;31;34;35;39;43;44;47;58;59;60;,0.625,0.375
0116263714556000,43;,0,0
0116264314556000,37;,0,0
0116260014556000,37;43;,1,0
0116263514556100,44;,0,1
0116264414556100,35;,0,1
0116260014556100,35;44;,0,1
0116260014550000,35;37;43;44;60;61;,0.333333,0.666667
0116283714555900,42;,0,0
0116284214555900,37;,0,0
