GameState,PossibleArrows,WinProb,TieProb
46225667330048,5;7;20;23;60;61;,1,0
46226741071872,3;7;21;23;59;61;,1,0
46229962297344,3;5;20;21;59;60;,1,0
46242847199232,5;7;20;21;44;47;,1,0
46243920941056,3;5;21;23;43;47;,1,0
46244994682880,3;7;20;23;43;44;,1,0
46223519858688,5;7;19;23;59;61;,1,0
46225667342336,1;7;21;23;57;61;,1,0
46229962309632,1;5;19;21;57;59;,1,0
46240699727872,5;7;19;21;43;47;,1,0
46242847211520,1;5;21;23;41;47;,1,0
46244994695168,1;7;19;23;41;43;,1,0
46223519862784,3;7;20;23;59;60;,0.5,0.5
46226741088256,1;7;19;23;57;59;,0.5,0.5
46229962313728,1;3;19;20;57;60;,1,0
46240699731968,3;7;19;20;44;47;,0,1
46242847215616,1;7;20;23;41;44;,0.5,0.5
46243920957440,1;3;19;23;41;47;,1,0
46223519870976,3;5;19;20;60;61;,1,0
46225667354624,1;5;20;21;57;60;,1,0
46226741096448,1;3;19;21;57;61;,1,0
46240699740160,3;5;20;21;43;44;,1,0
46243920965632,1;5;19;21;41;43;,1,0
46244994707456,1;3;19;20;41;44;,1,0
46225667362816,5;7;20;21;52;55;,1,0
46226741104640,3;7;19;21;53;55;,1,0
46229962330112,3;5;19;20;52;53;,1,0
46235331039232,5;7;19;21;43;47;,1,0
46236404781056,3;7;19;20;44;47;,1,0
46238552264704,3;5;20;21;43;44;,1,0
46223519887360,5;7;20;23;52;53;,1,0
46226741112832,1;7;21;23;49;53;,1,0
46229962338304,1;5;20;21;49;52;,1,0
46232109821952,5;7;20;21;44;47;,1,0
46235331047424,1;5;21;23;41;47;,1,0
46236404789248,1;7;20;23;41;44;,1,0
46223519891456,3;5;19;23;53;55;,1,0
46225667375104,1;5;21;23;49;55;,1,0
46229962342400,1;3;19;21;49;53;,1,0
46232109826048,3;5;21;23;43;47;,1,0
46236404793344,1;3;19;23;41;47;,1,0
46238552276992,1;5;19;21;41;43;,1,0
46223519895552,3;7;19;20;52;55;,1,0
46225667379200,1;7;20;23;49;52;,1,0
46226741121024,1;3;19;23;49;55;,1,0
46232109830144,3;7;20;23;43;44;,1,0
46235331055616,1;7;19;23;41;43;,1,0
46238552281088,1;3;19;20;41;44;,1,0
