GameState,PossibleArrows,WinProb,TieProb
95017568006144,1;2;10;11;57;59;,1,0
95031526649856,2;4;10;11;43;44;,0.5,0.5
95032600391680,1;4;11;12;41;43;,0.5,0.5
95033674133504,1;2;10;12;41;44;,1,0
95016494272512,4;7;10;12;50;55;,1,0
95017568014336,2;7;10;11;51;55;,1,0
95020789239808,2;4;11;12;50;51;,1,0
95024010465280,4;7;11;12;43;47;,1,0
95025084207104,2;7;10;12;44;47;,1,0
95029379174400,2;4;10;11;43;44;,1,0
95014346792960,4;7;11;12;51;55;,1,0
95016494276608,1;4;12;15;49;55;,1,0
95017568018432,1;7;11;15;49;51;,1,0
95022936727552,4;7;11;15;43;44;,1,0
95025084211200,1;7;12;15;41;44;,1,0
95029379178496,1;4;11;12;41;43;,1,0
95014346797056,2;4;12;15;50;55;,1,0
95017568022528,1;2;10;15;49;55;,1,0
95020789248000,1;4;10;12;49;50;,1,0
95022936731648,2;4;10;15;44;47;,1,0
95024010473472,1;4;12;15;41;47;,1,0
95029379182592,1;2;10;12;41;44;,1,0
95014346801152,2;7;11;15;50;51;,1,0
95016494284800,1;7;10;15;49;50;,1,0
95020789252096,1;2;10;11;49;51;,1,0
95022936735744,2;7;10;11;43;47;,1,0
95024010477568,1;7;11;15;41;43;,1,0
95025084219392,1;2;10;15;41;47;,1,0
94970323140608,1;2;4;7;10;11;12;15;41;43;44;47;49;50;51;55;57;58;59;60;,1,0
95092729876480,4;6;11;12;59;62;,1,0
95093803618304,2;4;12;14;58;62;,1,0
95094877360128,2;6;11;14;58;59;,1,0
95101319811072,4;6;11;14;51;52;,1,0
95102393552896,2;6;12;14;50;52;,1,0
95105614778368,2;4;11;12;50;51;,1,0
95091656142848,4;6;10;12;58;62;,0.5,0.5
95092729884672,1;4;12;14;57;62;,0.5,0.5
95094877368320,1;6;10;14;57;58;,0.5,0.5
95100246077440,4;6;10;14;50;52;,0,1
95101319819264,1;6;12;14;49;52;,0.5,0.5
95105614786560,1;4;10;12;49;50;,0.5,0.5
95091656146944,2;6;10;11;59;62;,0.5,0.5
