GameState,PossibleArrows,WinProb,TieProb
0223610011324900,28;46;,1,0
0223610011325200,30;41;,0,1
0223610011320000,28;30;41;46;49;52;,0.666667,0.333333
0223620011324100,28;53;,1,0
0223620011324400,29;49;,0.5,0.5
0223620011324900,29;44;,1,0
0223620011325300,28;41;,0.5,0.5
0223620011320000,28;29;41;44;49;53;,0.666667,0.333333
0223000011320000,28;29;30;41;44;46;49;52;53;57;61;62;,0.75,0.25
0223245311334462,,0,0
0223245311334400,62;,1,0
0223246211334453,,0,0
0223246211334400,53;,1,0
0223240011334400,53;62;,0,1
0223245211334661,,0,0
0223245211334600,61;,1,0
0223246111334652,,0,0
0223246111334600,52;,1,0
0223240011334600,52;61;,0,1
0223244611335261,,0,0
0223244611335200,61;,1,0
0223246111335200,46;,1,0
0223240011335200,46;61;,0,1
0223244411335362,,0,0
0223244411335300,62;,1,0
0223246211335300,44;,1,0
0223240011335300,44;62;,0,1
0223244611336100,52;,1,0
0223245211336100,46;,1,0
0223240011336100,46;52;,0,1
0223244411336200,53;,1,0
0223245311336200,44;,1,0
0223240011336200,44;53;,0,1
0223240011330000,44;46;52;53;61;62;,1,0
0223295211334062,,0,1
0223295211334000,62;,0,1
0223296211334052,,1,0
0223296211334000,52;,0,0
0223290011334000,52;62;,0.5,0.5
0223294811334660,,0,0
0223294811334600,60;,1,0
0223296011334648,,1,0
0223296011334600,48;,0,0
0223290011334600,48;60;,0.5,0.5
0223294611334860,,1,0
0223294611334800,60;,0,0
0223296011334800,46;,0,0
0223290011334800,46;60;,1,0
0223294011335262,,0,0
0223294011335200,62;,1,0
0223296211335200,40;,0,0
0223290011335200,40;62;,0.5,0.5
0223294611336000,48;,0,0
0223294811336000,46;,1,0
0223290011336000,46;48;,0.5,0.5
0223294011336200,52;,1,0
0223295211336200,40;,0,1
0223290011336200,40;52;,0,1
0223290011330000,40;46;48;52;60;62;,0.666667,0.333333
0223305311334060,,1,0
0223305311334000,60;,0,0
0223306011334053,,0,0
0223306011334000,53;,1,0
0223300011334000,53;60;,0.5,0.5
0223304811334461,,0,0
0223304811334400,61;,1,0
0223306111334448,,0,1
0223306111334400,48;,0,1
0223300011334400,48;61;,0,1
0223304411334861,,1,0
0223304411334800,61;,0,0
0223306111334800,44;,0,1
0223300011334800,44;61;,0.5,0.5
0223304011335360,,0,0
0223304011335300,60;,1,0
0223306011335300,40;,1,0
0223300011335300,40;60;,0,1
0223304011336000,53;,1,0
0223305311336000,40;,0,0
0223300011336000,40;53;,0.5,0.5
0223304411336100,48;,0,0
0223304811336100,44;,1,0
0223300011336100,44;48;,0.5,0.5
0223300011330000,40;44;48;53;60;61;,0.833333,0.166667
0223406211335200,29;,1,0
0223400011335200,29;62;,0,1
0223406011335300,30;,1,0
0223400011335300,30;60;,0,1
0223405311336000,30;,1,0
0223400011336000,30;53;,0,1
0223405211336200,29;,1,0
0223400011336200,29;52;,0,1
0223400011330000,29;30;52;53;60;62;,1,0
0223446111334800,30;,0,0
0223440011334800,30;61;,1,0
0223446211335300,24;,1,0
0223440011335300,24;62;,0,1
0223444811336100,30;,1,0
0223440011336100,30;48;,0.5,0.5
0223445311336200,24;,1,0
0223440011336200,24;53;,0,1
0223440011330000,24;30;48;53;61;62;,0.833333,0.166667
0223466011334800,29;,0,0
0223460011334800,29;60;,1,0
0223466111335200,24;,0,1
0223460011335200,24;61;,0,1
0223464811336000,29;,0,1
0223460011336000,29;48;,0.5,0.5
0223465211336100,24;,0,1
0223460011336100,24;52;,0,1
0223460011330000,24;29;48;52;60;61;,0.333333,0.666667
0223486111334400,30;,1,0
0223480011334400,30;61;,0,1
0223486011334600,29;,1,0
0223480011334600,29;60;,0,1
0223480011336000,29;46;,0,1
0223480011336100,30;44;,0,1
0223480011330000,29;30;44;46;60;61;,1,0
0223526211334000,29;,0,0
0223520011334000,29;62;,0.5,0.5
0223526111334600,24;,1,0
0223520011334600,24;61;,0,1
0223520011336100,24;46;,0,1
0223520011336200,29;40;,0,1
0223520011330000,24;29;40;46;61;62;,0.833333,0.166667
0223536011334000,30;,0,0
0223530011334000,30;60;,1,0
0223536211334400,24;,1,0
0223530011334400,24;62;,0,1
0223530011336000,30;40;,0.5,0.5
