GameState,PossibleArrows,WinProb,TieProb
219764890075136,3;4;7;26;28;31;34;35;39;42;43;44;,1,0
219764890087424,2;4;7;24;28;31;32;34;39;40;42;44;,1,0
219764890091520,2;3;7;24;26;31;32;35;39;40;42;43;,1,0
219764890103808,2;3;4;24;26;28;32;34;35;40;43;44;,0.833333,0.166667
219764890107904,2;4;7;19;20;23;34;35;39;42;43;44;,1,0
219764890116096,3;4;7;16;20;23;32;35;39;40;43;44;,1,0
219764890124288,2;3;7;16;19;23;32;34;39;40;42;43;,1,0
219764890136576,2;3;4;16;19;20;32;34;35;40;42;44;,1,0
219764890140672,2;3;7;19;20;23;26;28;31;42;43;44;,1,0
219764890148864,3;4;7;16;19;23;24;28;31;40;43;44;,1,0
219764890152960,2;4;7;16;20;23;24;26;31;40;42;44;,1,0
219764890169344,2;3;4;16;19;20;24;26;28;40;42;43;,1,0
219764890173440,2;3;4;19;20;23;26;28;31;34;35;39;,0.833333,0.166667
219764890181632,3;4;7;16;19;20;24;28;31;32;35;39;,1,0
219764890185728,2;4;7;16;20;23;24;26;28;32;34;39;,1,0
219764890189824,2;3;7;16;19;23;24;26;31;32;34;35;,1,0
215504282451968,2;3;4;6;7;16;19;20;22;23;24;26;28;30;31;32;34;35;38;39;40;42;43;44;47;56;58;59;60;62;,1,0
219352573751296,2;4;5;28;29;30;34;37;38;42;44;46;,1,0
219352573755392,2;3;5;26;29;30;35;37;38;42;43;46;,1,0
219352573759488,2;3;4;26;28;30;34;35;38;43;44;46;,1,0
219352573763584,3;4;5;26;28;29;34;35;37;42;43;44;,1,0
219352573779968,3;4;5;20;21;22;35;37;38;43;44;46;,1,0
219352573788160,2;3;5;19;21;22;34;37;38;42;43;46;,1,0
219352573792256,2;3;4;19;20;22;34;35;38;42;44;46;,1,0
219352573796352,2;4;5;19;20;21;34;35;37;42;43;44;,1,0
219352573812736,3;4;5;19;21;22;28;29;30;43;44;46;,1,0
219352573816832,2;4;5;20;21;22;26;29;30;42;44;46;,1,0
219352573825024,2;3;4;19;20;22;26;28;30;42;43;46;,1,0
219352573829120,2;3;5;19;20;21;26;28;29;42;43;44;,1,0
219352573845504,3;4;5;19;20;22;28;29;30;35;37;38;,1,0
219352573849600,2;4;5;20;21;22;26;28;30;34;37;38;,1,0
219352573853696,2;3;5;19;21;22;26;29;30;34;35;38;,1,0
219352573861888,2;3;4;19;20;21;26;28;29;34;35;37;,1,0
219490012692480,3;4;5;28;29;30;35;37;38;43;44;46;,1,0
219490012704768,4;5;6;24;28;29;32;37;38;40;44;46;,0.833333,0.166667
219490012708864,3;5;6;24;29;30;32;35;37;40;43;46;,1,0
219490012712960,3;4;6;24;28;30;32;35;38;40;43;44;,1,0
219490012725248,4;5;6;19;20;21;35;37;38;43;44;46;,1,0
219490012741632,3;5;6;16;19;21;32;37;38;40;43;46;,0.833333,0.166667
219490012745728,3;4;6;16;19;20;32;35;38;40;44;46;,1,0
219490012749824,3;4;5;16;20;21;32;35;37;40;43;44;,1,0
219490012758016,3;5;6;19;20;21;28;29;30;43;44;46;,1,0
219490012770304,4;5;6;16;20;21;24;29;30;40;44;46;,1,0
219490012778496,3;4;6;16;19;20;24;28;30;40;43;46;,0.833333,0.166667
219490012782592,3;4;5;16;19;21;24;28;29;40;43;44;,1,0
219490012790784,3;4;6;19;20;21;28;29;30;35;37;38;,0.5,0.5
219490012803072,4;5;6;16;20;21;24;28;30;32;37;38;,1,0
219490012807168,3;5;6;16;19;21;24;29;30;32;35;38;,1,0
219490012815360,3;4;5;16;19;20;24;28;29;32;35;37;,0.833333,0.166667
219558732169216,4;5;6;26;28;29;34;37;38;42;44;46;,1,0
219558732185600,2;5;6;24;26;29;32;37;38;40;42;46;,1,0
219558732189696,2;4;6;24;26;28;32;34;38;40;44;46;,1,0
219558732193792,2;4;5;24;28;29;32;34;37;40;42;44;,1,0
219558732201984,2;4;5;20;21;22;34;37;38;42;44;46;,1,0
219558732210176,4;5;6;16;20;21;32;37;38;40;44;46;,1,0
219558732218368,2;5;6;16;21;22;32;34;37;40;42;46;,1,0
219558732222464,2;4;6;16;20;22;32;34;38;40;42;44;,1,0
219558732234752,2;5;6;20;21;22;26;28;29;42;44;46;,1,0
219558732242944,4;5;6;16;21;22;24;28;29;40;44;46;,1,0
219558732255232,2;4;6;16;20;22;24;26;28;40;42;46;,1,0
219558732259328,2;4;5;16;20;21;24;26;29;40;42;44;,1,0
219558732267520,2;4;6;20;21;22;26;28;29;34;37;38;,1,0
219558732275712,4;5;6;16;20;22;24;28;29;32;37;38;,1,0
219558732283904,2;5;6;16;21;22;24;26;29;32;34;38;,1,0
219558732292096,2;4;5;16;20;21;24;26;28;32;34;37;,1,0
219627451645952,3;5;6;26;29;30;34;35;37;42;43;46;,1,0
219627451658240,2;5;6;24;29;30;32;34;37;40;42;46;,1,0
219627451666432,2;3;6;24;26;30;32;34;35;40;43;46;,1,0
219627451670528,2;3;5;24;26;29;32;35;37;40;42;43;,1,0
219627451678720,2;5;6;19;21;22;34;35;37;42;43;46;,1,0
219627451686912,3;5;6;16;21;22;32;35;37;40;43;46;,1,0
219627451699200,2;3;6;16;19;22;32;34;35;40;42;46;,1,0
219627451703296,2;3;5;16;19;21;32;34;37;40;42;43;,1,0
219627451711488,2;3;5;19;21;22;26;29;30;42;43;46;,1,0
219627451719680,3;5;6;16;19;21;24;29;30;40;43;46;,1,0
219627451723776,2;5;6;16;21;22;24;26;29;40;42;46;,1,0
219627451731968,2;3;6;16;19;22;24;26;30;40;42;43;,1,0
219627451744256,2;3;6;19;21;22;26;29;30;34;35;37;,1,0
219627451752448,3;5;6;16;19;22;24;29;30;32;35;37;,1,0
219627451756544,2;5;6;16;21;22;24;26;30;32;34;37;,1,0
219627451768832,2;3;5;16;19;21;24;26;29;32;34;35;,1,0
219696171122688,3;4;6;26;28;30;34;35;38;42;43;44;,1,0
