GameState,PossibleArrows,WinProb,TieProb
170204187100800,17;61;,1,0
170204187102848,21;25;,0,1
170204187103040,17;26;,1,0
170211703293120,29;49;,1,0
170211703293248,25;51;,1,0
170211703293504,21;51;,1,0
170211703293760,19;49;,1,0
170211703295040,19;29;,0,1
170211703295168,21;25;,1,0
170212777034816,29;50;,1,0
170212777035072,26;49;,1,0
170212777035392,21;49;,1,0
170212777035584,17;50;,1,0
170212777036864,21;26;,0,1
170212777036928,17;29;,0,1
170214924518464,26;51;,1,0
170214924518592,25;50;,1,0
170214924518976,19;50;,1,0
170214924519040,17;51;,1,0
170214924520576,19;25;,0,1
170214924520640,17;26;,1,0
170149426266112,17;19;21;25;26;29;49;50;51;58;59;61;,0.833333,0.166667
170201922184413,,0,1
170200965883072,29;57;,0,1
170201955738969,,0,1
170200965883200,25;59;,0,1
170200965883456,21;59;,0,1
170200965883712,19;57;,0,1
170200965885504,19;29;,0,1
170200965885632,21;25;,0,1
170203029480477,,0,1
170202039624704,29;59;,0,1
170203063035096,,0,0
170202039624896,24;61;,0,1
170202039625216,19;61;,0,1
170202039625536,16;59;,0,1
170202039627456,16;29;,0,1
170202039627584,19;24;,0,1
170205210518553,,0,1
170204187108352,25;61;,0,1
170205143410008,,0,0
170204187108672,24;57;,0,1
170204187108864,21;57;,0,1
170204187108928,16;61;,0,1
170204187110976,21;24;,0,1
170204187111232,16;25;,0,1
170210629559488,29;48;,0,1
170210629559616,24;51;,0,1
170210629559808,21;51;,0,1
170210629560128,19;48;,0,1
170210629561344,19;29;,0,1
170210629561536,21;24;,0,1
170212777042944,29;49;,0,1
170212777043264,25;48;,0,1
170212777043520,21;48;,0,1
170212777043776,16;49;,0,1
170212777044992,21;25;,0,1
170212777045056,16;29;,0,1
170214924526592,25;51;,0,1
170214924526784,24;49;,0,1
170214924527104,19;49;,0,1
170214924527168,16;51;,0,1
170214924528704,19;24;,0,1
170214924528832,16;25;,0,1
170149426274304,16;19;21;24;25;29;48;49;51;57;59;61;,0,1
170201938965597,,1,0
170200965887040,29;58;,1,0
170201922188634,,1,0
170200965887296,26;57;,1,0
170200965887616,21;57;,1,0
170200965887808,17;58;,1,0
170200965889600,21;26;,0,1
170200965889664,17;29;,0,1
170203063039002,,1,0
170202039628800,26;61;,1,0
170203012707672,,0,0
170202039629120,24;58;,0,1
170202039629312,21;58;,0,1
170202039629440,16;61;,1,0
170202039631488,21;24;,0,1
170202039631680,16;26;,1,0
170204069671965,,0,1
170203113370624,29;57;,0,1
170204136780888,,0,1
170203113370688,24;61;,1,0
170203113371136,17;61;,0,1
170203113371456,16;57;,0,1
170203113373248,16;29;,0,1
170203113373504,17;24;,1,0
170210629563392,29;50;,0,1
170210629563712,26;48;,1,0
170210629564032,21;48;,1,0
170210629564224,16;50;,0,1
170210629565440,21;26;,0,1
170210629565568,16;29;,0,1
170211703305280,29;48;,1,0
170211703305536,24;49;,0,1
170211703305728,21;49;,0,1
170211703306048,17;48;,1,0
170211703307264,17;29;,0,1
170211703307328,21;24;,0,1
170214924530688,26;49;,1,0
170214924530752,24;50;,0,1
170214924531200,17;50;,0,1
170214924531328,16;49;,1,0
170214924532800,16;26;,0,1
170214924532864,17;24;,0,1
170149426278400,16;17;21;24;26;29;48;49;50;57;58;61;,0.666667,0.333333
170201955751002,,1,0
170200965895232,26;59;,1,0
170201938973913,,0,1
170200965895360,25;58;,0,1
170200965895744,19;58;,0,1
170200965895808,17;59;,1,0
170200965897856,19;25;,0,1
170200965897920,17;26;,0,1
170204103234585,,0,1
170203113378816,25;59;,0,1
170204069680344,,0,0
170203113379008,24;57;,0,1
170203113379328,19;57;,0,1
170203113379392,16;59;,0,1
170203113381440,19;24;,0,1
170203113381568,16;25;,0,1
170205143421978,,1,0
170204187120640,26;57;,1,0
170205160199256,,0,1
170204187120704,24;58;,0,1
170204187121152,17;58;,0,1
170204187121280,16;57;,1,0
170204187123264,16;26;,0,1
170204187123328,17;24;,0,1
170210629571584,26;51;,1,0
170210629571776,24;50;,0,1
170210629572096,19;50;,0,1
170210629572224,16;51;,1,0
170210629573760,19;24;,0,1
170210629573824,16;26;,0,1
170211703313472,24;51;,0,1
170211703313600,25;48;,0,1
170211703313920,17;51;,0,1
170211703313984,19;48;,0,1
170211703315456,19;25;,0,1
170211703315648,17;24;,0,1
170212777055232,25;50;,0,1
170212777055296,26;48;,1,0
170212777055808,16;50;,0,1
170212777055872,17;48;,1,0
170212777057280,17;26;,0,1
170212777057408,16;25;,0,1
170149426286592,16;17;19;24;25;26;48;50;51;57;58;59;,0.333333,0.666667
170202039649920,11;61;,1,0
170202039650112,10;59;,0,1
170202039652032,10;29;,0,1
170202039652160,11;26;,1,0
170203113391680,13;59;,0,1
170203113391936,11;57;,0,1
170203113393728,11;29;,0,1
